item_number,days_in_warehouse,shipment_frequency,category,total_quantity_received,frequency_received,total_quantity_shipped,frequency_shipped,priority_cluster
P85287,2.9811701412239406,1487,Fast Mover,12030,1496,9058,1552,Top Priority Item
P85286,2.8652234636871508,1432,Fast Mover,11565,1449,8633,1538,Top Priority Item
P85289,3.805023923444976,836,Fast Mover,6629,849,5493,917,Top Priority Item
P85290,2.873862158647594,769,Fast Mover,5958,769,4555,809,Top Priority Item
115127,9.606227106227106,546,Medium Mover,1094,546,1109,583,Low Priority Item
P64150,17.407265774378587,523,Medium Mover,70000,523,46900,475,Low Priority Item
P85288,4.950592885375494,506,Fast Mover,3813,507,2976,510,Top Priority Item
V50833,10.426262626262627,495,Medium Mover,4872,496,5457,581,Low Priority Item
P85285,7.377155172413793,464,Medium Mover,3732,471,2556,437,Low Priority Item
P85298,6.909706546275395,443,Fast Mover,3444,450,2766,480,Top Priority Item
P85291,4.391100702576113,427,Fast Mover,3282,438,2400,467,Top Priority Item
V50835,16.16915422885572,402,Medium Mover,2879,402,3223,508,Low Priority Item
V50836,15.419023136246787,389,Medium Mover,1596,389,1740,427,Low Priority Item
115123,20.495726495726494,351,Medium Mover,3486,351,4139,515,Low Priority Item
V51967,15.082857142857144,350,Medium Mover,2667,356,2970,415,Low Priority Item
110192LF,13.700617283950617,324,Medium Mover,152064,325,158154,372,Low Priority Item
115111,29.5141065830721,319,Medium Mover,3200,319,3484,415,Low Priority Item
115128,27.893548387096775,310,Medium Mover,640,311,670,359,Low Priority Item
P2001155,8.892976588628763,299,Medium Mover,770,303,530,289,Low Priority Item
DP3598,27.697841726618705,278,Medium Mover,28694,279,14451,197,Low Priority Item
115104,41.64492753623188,276,Slow Mover,4966,277,4902,381,Low Priority Item
DM0005,6.291512915129151,271,Fast Mover,15032,275,13851,357,Top Priority Item
104450LF,11.972222222222221,252,Medium Mover,2041,263,2185,470,Low Priority Item
V50837,11.204255319148936,235,Medium Mover,325,235,400,271,Low Priority Item
SM2267,7.6752136752136755,234,Medium Mover,234,234,248,247,Low Priority Item
P2000842,7.9298245614035086,228,Medium Mover,5302,233,4624,337,Low Priority Item
P81290,20.309734513274336,226,Medium Mover,20480,226,14640,196,Low Priority Item
P2004411,9.10762331838565,223,Medium Mover,3754,224,3363,443,Low Priority Item
P2001127,14.30316742081448,221,Medium Mover,11099,222,8670,245,Low Priority Item
104309,11.0,216,Medium Mover,1422,226,1644,391,Low Priority Item
P2001125,21.199074074074073,216,Medium Mover,20147,217,11161,182,Low Priority Item
P43972,9.15962441314554,213,Medium Mover,1045,216,789,256,Low Priority Item
52-128-321-501,13.089201877934272,213,Medium Mover,541,215,339,211,Low Priority Item
52-116-922-501,17.14622641509434,212,Medium Mover,576,216,358,236,Low Priority Item
V51973,43.08018867924528,212,Slow Mover,266,217,229,170,Low Priority Item
104301,10.421800947867299,211,Medium Mover,1896,228,2145,386,Low Priority Item
115126,20.047846889952154,209,Medium Mover,1666,209,1879,304,Low Priority Item
P2002406,29.83653846153846,208,Medium Mover,2385,211,1589,297,Low Priority Item
P5004634,9.317073170731707,205,Medium Mover,886,208,814,317,Low Priority Item
V51961,9.424390243902439,205,Medium Mover,3150,205,4170,280,Low Priority Item
52-116-924-501,21.181372549019606,204,Medium Mover,487,204,421,232,Low Priority Item
104451LF,14.280788177339902,203,Medium Mover,2145,215,2214,335,Low Priority Item
P2002404,15.925373134328359,201,Medium Mover,2082,204,1602,346,Low Priority Item
P58492,9.545,200,Medium Mover,43398,203,42750,207,Low Priority Item
P2002400,14.606217616580311,193,Medium Mover,3220,194,2329,252,Low Priority Item
P51561,150.2408376963351,191,Slow Mover,6256,193,2077,95,Low Priority Item
G96819,12.663157894736843,190,Medium Mover,13372,190,11225,198,Low Priority Item
P2004419,8.412698412698413,189,Medium Mover,1655,189,1507,341,Low Priority Item
104456LF,8.319148936170214,188,Medium Mover,1609,199,1647,385,Low Priority Item
P2004423,5.15819209039548,177,Fast Mover,1590,196,1556,342,Top Priority Item
P2004563,14.333333333333334,177,Medium Mover,897,193,805,282,Low Priority Item
P61449,31.818181818181817,176,Slow Mover,13295,176,7982,177,Low Priority Item
P2004413,29.514285714285716,175,Medium Mover,1874,187,1627,287,Low Priority Item
P2004421,8.148809523809524,168,Medium Mover,1646,169,1480,327,Low Priority Item
115119,33.75,168,Slow Mover,3028,170,2715,261,Low Priority Item
M28099,15.536144578313253,166,Medium Mover,121416,169,77424,232,Low Priority Item
185115,5.648484848484848,165,Fast Mover,212,165,228,187,Top Priority Item
104308,16.335365853658537,164,Medium Mover,1065,185,1233,309,Low Priority Item
P44081,8.28834355828221,163,Medium Mover,1117,169,808,272,Low Priority Item
115188,11.950310559006212,161,Medium Mover,340,167,337,185,Low Priority Item
V51970,22.80745341614907,161,Medium Mover,644,161,576,148,Low Priority Item
P70962,13.15,160,Medium Mover,84000,171,60060,150,Low Priority Item
115125,29.78616352201258,159,Medium Mover,1274,160,1447,249,Low Priority Item
185116,5.9411764705882355,153,Fast Mover,196,153,219,188,Top Priority Item
P77119,12.298013245033113,151,Medium Mover,100627,151,59592,181,Low Priority Item
SM0744,24.344370860927153,151,Medium Mover,358,184,376,236,Low Priority Item
P42542,30.781456953642383,151,Slow Mover,5319,153,3924,258,Low Priority Item
P85243,5.953333333333333,150,Fast Mover,9364,151,8035,261,Top Priority Item
DR0614,9.97972972972973,148,Medium Mover,1466,163,1072,140,Low Priority Item
SM0745,6.791666666666667,144,Fast Mover,311,159,340,217,Top Priority Item
115187,49.3125,144,Slow Mover,288,144,358,188,Low Priority Item
104306,16.659574468085108,141,Medium Mover,1468,156,1626,281,Low Priority Item
115121,22.25531914893617,141,Medium Mover,2424,141,2441,216,Low Priority Item
P90523,13.956521739130435,138,Medium Mover,14217,139,8577,179,Low Priority Item
SM2269,13.496350364963504,137,Medium Mover,137,137,146,146,Low Priority Item
104310,18.824817518248175,137,Medium Mover,742,148,832,219,Low Priority Item
G96817,9.036764705882353,136,Medium Mover,9956,137,9092,163,Low Priority Item
SM0742,7.2,135,Medium Mover,479,193,522,270,Low Priority Item
115122,66.74436090225564,133,Slow Mover,1332,133,1175,136,Low Priority Item
104318,8.923664122137405,131,Medium Mover,750,140,863,234,Low Priority Item
52-116-920-501,11.450381679389313,131,Medium Mover,382,131,279,171,Low Priority Item
115118,34.76335877862596,131,Slow Mover,2306,131,2129,141,Low Priority Item
52-118-401-501,13.7109375,128,Medium Mover,324,132,179,122,Low Priority Item
903580,23.086614173228348,127,Medium Mover,5436,130,4524,182,Low Priority Item
115129,25.173228346456693,127,Medium Mover,272,136,302,167,Low Priority Item
903582,7.723577235772358,123,Medium Mover,4640,128,4189,181,Low Priority Item
P2004417,6.352459016393443,122,Fast Mover,1891,123,1662,252,Top Priority Item
104315,17.628099173553718,121,Medium Mover,898,124,808,192,Low Priority Item
P2004620,9.175,120,Medium Mover,105792,125,105755,188,Low Priority Item
52-460-769-011,9.100840336134453,119,Medium Mover,122,122,110,110,Low Priority Item
P90527,19.594827586206897,116,Medium Mover,6584,116,6763,290,Low Priority Item
185111,8.725663716814159,113,Medium Mover,240,117,279,161,Low Priority Item
104321,13.63716814159292,113,Medium Mover,533,128,585,256,Low Priority Item
P85248,6.526785714285714,112,Fast Mover,6752,112,6114,210,Top Priority Item
P5004632,13.741071428571429,112,Medium Mover,496,113,374,184,Low Priority Item
115120,29.946428571428573,112,Medium Mover,2016,112,1885,147,Low Priority Item
P2004561,35.481818181818184,110,Slow Mover,937,110,853,127,Low Priority Item
P2001630,13.853211009174313,109,Medium Mover,641,113,487,146,Low Priority Item
230080,57.04587155963303,109,Slow Mover,4723,120,3951,143,Low Priority Item
115189,23.314814814814813,108,Medium Mover,222,111,236,138,Low Priority Item
P6011019,14.981308411214954,107,Medium Mover,147,112,79,75,Medium Priority Item
P79025,10.084905660377359,106,Medium Mover,11366,106,10585,183,Low Priority Item
SM2309,22.552380952380954,105,Medium Mover,225,107,183,99,Low Priority Item
V51964,34.10576923076923,104,Slow Mover,832,104,1056,141,Low Priority Item
104312,14.446601941747574,103,Medium Mover,658,111,561,150,Low Priority Item
P77179,14.843137254901961,102,Medium Mover,39977,102,25717,162,Low Priority Item
P2002398,21.38235294117647,102,Medium Mover,1276,102,1188,206,Low Priority Item
P08420,22.613861386138613,101,Medium Mover,4355,101,3598,101,Low Priority Item
52-129-440-501,22.97029702970297,101,Medium Mover,251,103,154,99,Low Priority Item
52-116-917-523,11.151515151515152,99,Medium Mover,259,102,176,107,Low Priority Item
P2002412,15.787878787878787,99,Medium Mover,670,100,593,134,Low Priority Item
P5004640,26.828282828282827,99,Medium Mover,258,102,207,114,Low Priority Item
P2004415,9.216494845360824,97,Medium Mover,1120,102,1208,222,Low Priority Item
SM0748,11.762886597938145,97,Medium Mover,217,106,218,139,Low Priority Item
P6011015,17.195876288659793,97,Medium Mover,137,97,97,81,Medium Priority Item
P81334,28.354166666666668,96,Medium Mover,4140,101,3528,106,Low Priority Item
SM0754,9.147368421052631,95,Medium Mover,229,104,244,144,Low Priority Item
P2002394,13.757894736842106,95,Medium Mover,1450,96,1571,211,Low Priority Item
903576,41.95789473684211,95,Slow Mover,3336,97,2493,106,Low Priority Item
P2000872,14.236559139784946,93,Medium Mover,1577,93,1271,134,Low Priority Item
117415LF,42.48913043478261,92,Slow Mover,75072,92,56302,136,Low Priority Item
DT0420,52.80434782608695,92,Slow Mover,175,92,121,69,Low Priority Item
SM0756,9.197802197802197,91,Medium Mover,207,105,218,144,Low Priority Item
V1000292,14.68131868131868,91,Medium Mover,15182,95,7029,91,Low Priority Item
DE0951,16.043956043956044,91,Medium Mover,1801,93,1392,79,Low Priority Item
P85254,7.766666666666667,90,Medium Mover,2424,90,2207,131,Low Priority Item
185112,6.078651685393258,89,Fast Mover,234,101,252,129,Top Priority Item
SM0743,10.415730337078651,89,Medium Mover,272,110,315,170,Low Priority Item
SM0746,12.191011235955056,89,Medium Mover,174,96,214,136,Low Priority Item
903585,9.329545454545455,88,Medium Mover,2838,94,2657,130,Low Priority Item
P2004565,12.816091954022989,87,Medium Mover,531,87,462,143,Low Priority Item
P70965,21.20689655172414,87,Medium Mover,39984,98,26035,64,Low Priority Item
P2000848,12.430232558139535,86,Medium Mover,2940,89,1815,174,Low Priority Item
V1000296,13.744186046511627,86,Medium Mover,10173,91,6192,145,Low Priority Item
115182,20.302325581395348,86,Medium Mover,828,86,962,168,Low Priority Item
DR0612,23.63953488372093,86,Medium Mover,1076,87,1105,147,Low Priority Item
P70877,11.435294117647059,85,Medium Mover,81480,86,59604,97,Low Priority Item
V1000294,20.976470588235294,85,Medium Mover,9767,87,5920,122,Low Priority Item
104328,24.2,85,Medium Mover,360,90,424,125,Low Priority Item
903578,32.785714285714285,84,Slow Mover,2318,85,1495,104,Low Priority Item
104326,6.855421686746988,83,Fast Mover,364,90,402,192,Top Priority Item
V50838,28.542168674698797,83,Medium Mover,83,83,108,108,Low Priority Item
185114,5.402439024390244,82,Fast Mover,188,86,204,120,Top Priority Item
P2001745,7.271604938271605,81,Medium Mover,3766,81,4843,273,Low Priority Item
P2002390,17.814814814814813,81,Medium Mover,1750,81,1844,193,Low Priority Item
SM2272,21.296296296296298,81,Medium Mover,87,87,99,99,Medium Priority Item
P77139,25.97530864197531,81,Medium Mover,48310,81,23836,82,Low Priority Item
P78927,6.025,80,Fast Mover,23988,80,27176,223,Top Priority Item
110196LF,8.4125,80,Medium Mover,32928,80,38241,115,Low Priority Item
104459LF,9.6,80,Medium Mover,421,88,515,133,Low Priority Item
P85239,12.825,80,Medium Mover,7559,82,6836,117,Low Priority Item
V1000298,43.375,80,Slow Mover,4914,82,2836,134,Low Priority Item
SM2117,6.443037974683544,79,Fast Mover,186,87,242,149,Top Priority Item
P2000828,9.050632911392405,79,Medium Mover,3916,79,3284,187,Low Priority Item
P2004634,9.49367088607595,79,Medium Mover,12190,85,12918,117,Low Priority Item
903584,10.924050632911392,79,Medium Mover,1758,84,1370,98,Low Priority Item
115184,14.683544303797468,79,Medium Mover,790,79,961,157,Low Priority Item
903583,18.21518987341772,79,Medium Mover,3129,82,2820,124,Low Priority Item
115124,22.518987341772153,79,Medium Mover,758,79,750,114,Low Priority Item
111034,23.602564102564102,78,Medium Mover,5820,78,5107,183,Low Priority Item
P5004635,11.584415584415584,77,Medium Mover,314,78,323,149,Low Priority Item
P58496,12.078947368421053,76,Medium Mover,46372,78,46224,108,Low Priority Item
P2004429,28.11842105263158,76,Medium Mover,484,80,352,130,Low Priority Item
P2002484,28.526315789473685,76,Medium Mover,120,78,129,95,Low Priority Item
V51760,7.72,75,Medium Mover,4692,76,4903,147,Low Priority Item
P2001625,16.706666666666667,75,Medium Mover,1377,77,1016,183,Low Priority Item
P6011033,29.72,75,Medium Mover,172,76,116,73,Low Priority Item
P85245,10.58108108108108,74,Medium Mover,2594,74,2386,118,Low Priority Item
104323,21.635135135135137,74,Medium Mover,260,78,244,120,Low Priority Item
111040,23.64864864864865,74,Medium Mover,3366,85,2335,145,Low Priority Item
239600,25.66216216216216,74,Medium Mover,5968,74,7080,93,Low Priority Item
SM0740,10.917808219178083,73,Medium Mover,160,80,159,108,Low Priority Item
SM2253,11.383561643835616,73,Medium Mover,179,81,212,123,Low Priority Item
SM0749,11.575342465753424,73,Medium Mover,105,76,103,83,Low Priority Item
SM2256,11.753424657534246,73,Medium Mover,152,75,168,111,Low Priority Item
V50834,24.63013698630137,73,Medium Mover,560,74,686,97,Low Priority Item
P81289,29.84931506849315,73,Medium Mover,5372,73,4348,71,Low Priority Item
