,year_month,item_number,Quantity_received,Quantity_shipped,monthly_net,cumulative_inventory,average_inventory,turnover_ratio,stock_status,turnover_change
0,2021-04,08-104-599-504,33.0,4.0,29.0,29.0,14.5,0.27586206896551724,Overstocking,
1,2021-11,08-104-599-504,0.0,2.0,-2.0,27.0,28.0,0.07142857142857142,Overstocking,-0.2044334975369458
2,2021-12,08-104-599-504,0.0,2.0,-2.0,25.0,26.0,0.07692307692307693,Overstocking,0.005494505494505503
3,2022-01,08-104-599-504,0.0,17.0,-17.0,8.0,16.5,1.0303030303030303,Understocking,0.9533799533799534
4,2022-03,08-104-599-504,0.0,5.0,-5.0,3.0,5.5,0.9090909090909091,Normal,-0.12121212121212122
5,2022-04,08-104-599-504,0.0,2.0,-2.0,1.0,2.0,1.0,Normal,0.09090909090909094
6,2023-05,08-104-599-504,5.0,0.0,5.0,6.0,3.5,0.0,,-1.0
7,2023-07,08-104-599-504,0.0,5.0,-5.0,1.0,3.5,1.4285714285714286,Understocking,1.4285714285714286
8,2021-01,08-105-085-057,2.0,2.0,0.0,0.0,0.0,inf,Understocking,
9,2021-05,08-105-085-057,5.0,0.0,5.0,5.0,2.5,0.0,,-inf
10,2021-06,08-105-085-057,0.0,10.0,-10.0,-5.0,0.0,inf,Understocking,inf
11,2022-03,08-105-085-057,22.0,0.0,22.0,17.0,6.0,0.0,,-inf
12,2022-04,08-105-085-057,0.0,10.0,-10.0,7.0,12.0,0.8333333333333334,Normal,0.8333333333333334
13,2022-07,08-105-085-057,0.0,12.0,-12.0,-5.0,1.0,12.0,Understocking,11.166666666666666
14,2021-04,08-105-173-065,6.0,5.0,1.0,1.0,0.5,10.0,Understocking,
15,2021-05,08-105-173-065,0.0,1.0,-1.0,0.0,0.5,2.0,Understocking,-8.0
16,2022-05,08-105-173-065,0.0,4.0,-4.0,-4.0,-2.0,-2.0,,-4.0
17,2022-08,08-105-173-065,31.0,0.0,31.0,27.0,11.5,0.0,,2.0
18,2022-12,08-105-173-065,0.0,3.0,-3.0,24.0,25.5,0.11764705882352941,Overstocking,0.11764705882352941
19,2023-01,08-105-173-065,0.0,11.0,-11.0,13.0,18.5,0.5945945945945946,Normal,0.4769475357710652
