year_month,cumulative_inventory
2021-01,18337
2021-02,50679
2021-03,69072
2021-04,153896
2021-05,259630
2021-06,213905
2021-07,179521
2021-08,158942
2021-09,146488
2021-10,161690
2021-11,210603
2021-12,344146
2022-01,402024
2022-02,649669
2022-03,743260
2022-04,830126
2022-05,845869
2022-06,894420
2022-07,931686
2022-08,1062708
2022-09,1099409
2022-10,1047273
2022-11,1140791
2022-12,1081042
2023-01,1108211
2023-02,1091893
2023-03,1072289
2023-04,1027135
2023-05,1245933
2023-06,1255871
2023-07,1202805
2023-08,1206432
2023-09,1200745
