year_month,item_number,Quantity_received,Quantity_shipped,monthly_net,cumulative_inventory
2021-04,08-104-599-504,33.0,4.0,29.0,29.0
2021-11,08-104-599-504,0.0,2.0,-2.0,27.0
2021-12,08-104-599-504,0.0,2.0,-2.0,25.0
2022-01,08-104-599-504,0.0,17.0,-17.0,8.0
2022-03,08-104-599-504,0.0,5.0,-5.0,3.0
2022-04,08-104-599-504,0.0,2.0,-2.0,1.0
2023-05,08-104-599-504,5.0,0.0,5.0,6.0
2023-07,08-104-599-504,0.0,5.0,-5.0,1.0
2021-01,08-105-085-057,2.0,2.0,0.0,0.0
2021-05,08-105-085-057,5.0,0.0,5.0,5.0
2021-06,08-105-085-057,0.0,10.0,-10.0,-5.0
2022-03,08-105-085-057,22.0,0.0,22.0,17.0
2022-04,08-105-085-057,0.0,10.0,-10.0,7.0
2022-07,08-105-085-057,0.0,12.0,-12.0,-5.0
2021-04,08-105-173-065,6.0,5.0,1.0,1.0
2021-05,08-105-173-065,0.0,1.0,-1.0,0.0
2022-05,08-105-173-065,0.0,4.0,-4.0,-4.0
2022-08,08-105-173-065,31.0,0.0,31.0,27.0
2022-12,08-105-173-065,0.0,3.0,-3.0,24.0
2023-01,08-105-173-065,0.0,11.0,-11.0,13.0
2023-02,08-105-173-065,0.0,3.0,-3.0,10.0
2023-03,08-105-173-065,0.0,9.0,-9.0,1.0
2023-04,08-105-173-065,23.0,0.0,23.0,24.0
2023-05,08-105-173-065,0.0,7.0,-7.0,17.0
2023-06,08-105-173-065,0.0,21.0,-21.0,-4.0
2021-04,08-105-687-059,28.0,0.0,28.0,28.0
2021-07,08-105-687-059,24.0,24.0,0.0,28.0
2021-08,08-105-687-059,27.0,20.0,7.0,35.0
2021-09,08-105-687-059,0.0,10.0,-10.0,25.0
2021-10,08-105-687-059,0.0,19.0,-19.0,6.0
2022-02,08-105-687-059,0.0,5.0,-5.0,1.0
2022-03,08-105-687-059,25.0,60.0,-35.0,-34.0
2022-08,08-105-687-059,0.0,25.0,-25.0,-59.0
2023-05,08-105-687-059,8.0,0.0,8.0,-51.0
2023-06,08-105-687-059,0.0,8.0,-8.0,-59.0
