year,quarter,month,item_number,received_qty,shipped_qty,turnover_rate
2021,1,1,08-105-085-057,2.0,2.0,1.0
2021,1,1,08-111-626-501,3.0,0.0,0.0
2021,1,1,103400,1800.0,0.0,0.0
2021,1,1,103401LF,200.0,0.0,0.0
2021,1,1,103417,864.0,0.0,0.0
2021,1,1,115104,176.0,0.0,0.0
2021,1,1,115111,20.0,0.0,0.0
2021,1,1,115112,56.0,0.0,0.0
2021,1,1,115113,72.0,72.0,1.0
2021,1,1,115114,36.0,0.0,0.0
2021,1,1,115115,36.0,72.0,2.0
2021,1,1,115116,72.0,0.0,0.0
2021,1,1,115117,18.0,0.0,0.0
2021,1,1,115118,72.0,0.0,0.0
2021,1,1,115119,36.0,0.0,0.0
2021,1,1,115120,54.0,0.0,0.0
2021,1,1,115121,200.0,0.0,0.0
2021,1,1,115122,20.0,0.0,0.0
2021,1,1,115123,248.0,140.0,0.5645161290322581
2021,1,1,115124,40.0,0.0,0.0
2021,1,1,115125,64.0,16.0,0.25
2021,1,1,115126,16.0,32.0,2.0
2021,1,1,115127,32.0,0.0,0.0
2021,1,1,115128,22.0,16.0,0.7272727272727273
2021,1,1,115129,8.0,0.0,0.0
2021,1,1,115172,33.0,0.0,0.0
2021,1,1,115177,18.0,0.0,0.0
2021,1,1,115178,18.0,18.0,1.0
2021,1,1,115179,36.0,0.0,0.0
2021,1,1,115180,9.0,0.0,0.0
2021,1,1,115181,10.0,0.0,0.0
2021,1,1,115184,20.0,0.0,0.0
2021,1,1,115186,16.0,16.0,1.0
2021,1,1,115187,12.0,0.0,0.0
2021,1,1,115189,6.0,0.0,0.0
2021,1,1,187202,68.0,0.0,0.0
2021,1,1,210619,2160.0,0.0,0.0
2021,1,1,235861,1248.0,0.0,0.0
2021,1,1,236761,1248.0,0.0,0.0
2021,1,1,500089,163.0,0.0,0.0
2021,1,1,52-115-223-001,1.0,0.0,0.0
2021,1,1,52-116-917-501,4.0,0.0,0.0
2021,1,1,52-116-918-501,4.0,0.0,0.0
2021,1,1,52-116-924-501,10.0,0.0,0.0
2021,1,1,52-116-926-501,4.0,0.0,0.0
2021,1,1,52-116-968-501,4.0,0.0,0.0
2021,1,1,52-123-957-522,2.0,0.0,0.0
2021,1,1,52-461-475-000,2.0,0.0,0.0
2021,1,1,AC1860,16.0,0.0,0.0
2021,1,1,AC1863,12.0,0.0,0.0
2021,1,1,AC1866,8.0,0.0,0.0
2021,1,1,AC1868,4.0,0.0,0.0
2021,1,1,AC1869,4.0,0.0,0.0
2021,1,1,AC1871,4.0,0.0,0.0
2021,1,1,AC2173,1.0,0.0,0.0
2021,1,1,AC2459,7.0,0.0,0.0
2021,1,1,AC2465,2.0,0.0,0.0
2021,1,1,AC2532,5.0,0.0,0.0
2021,1,1,AC2606,3.0,0.0,0.0
2021,1,1,AC6113,198.0,0.0,0.0
2021,1,1,AC6142,2.0,0.0,0.0
2021,1,1,AC8347,2.0,0.0,0.0
2021,1,1,AC8352,1.0,0.0,0.0
2021,1,1,AM2736900,5.0,0.0,0.0
2021,1,1,AP0156,4.0,0.0,0.0
2021,1,1,DB0113,6.0,0.0,0.0
2021,1,1,DP0208,250.0,0.0,0.0
2021,1,1,DP0692,120.0,0.0,0.0
2021,1,1,DR0234,4.0,0.0,0.0
2021,1,1,DT0766,10.0,0.0,0.0
2021,1,1,DT0772,36.0,6.0,0.16666666666666666
2021,1,1,G96819,96.0,0.0,0.0
2021,1,1,M28177,288.0,0.0,0.0
2021,1,1,P2000658,5.0,0.0,0.0
2021,1,1,P2000676,4.0,0.0,0.0
2021,1,1,P2000678,2.0,0.0,0.0
2021,1,1,P2000680,7.0,0.0,0.0
2021,1,1,P2000726,7.0,0.0,0.0
