year_month,item_number,cumulative_lpns
2021-01,08-105-085-057,1.0
2021-01,08-111-626-501,2.0
2021-01,103400,18.0
2021-01,103401LF,2.0
2021-01,103417,6.0
2021-01,115104,10.0
2021-01,115111,2.0
2021-01,115112,1.0
2021-01,115113,1.0
2021-01,115114,1.0
2021-01,115115,0.0
2021-01,115116,2.0
2021-01,115117,1.0
2021-01,115118,4.0
2021-01,115119,2.0
2021-01,115120,3.0
2021-01,115121,12.0
2021-01,115122,2.0
2021-01,115123,15.0
2021-01,115124,4.0
2021-01,115125,7.0
2021-01,115126,-1.0
2021-01,115127,16.0
2021-01,115128,7.0
2021-01,115129,4.0
2021-01,115172,1.0
2021-01,115177,1.0
2021-01,115178,1.0
2021-01,115179,2.0
2021-01,115180,1.0
2021-01,115181,1.0
2021-01,115184,2.0
2021-01,115186,1.0
2021-01,115187,6.0
2021-01,115189,3.0
2021-01,187202,1.0
2021-01,210619,1.0
2021-01,235861,2.0
2021-01,236761,2.0
2021-01,500089,3.0
2021-01,52-115-223-001,1.0
2021-01,52-116-917-501,1.0
2021-01,52-116-918-501,1.0
2021-01,52-116-924-501,5.0
2021-01,52-116-926-501,4.0
2021-01,52-116-968-501,2.0
2021-01,52-123-957-522,1.0
2021-01,52-461-475-000,1.0
2021-01,AC1860,4.0
2021-01,AC1863,3.0
2021-01,AC1866,2.0
2021-01,AC1868,1.0
2021-01,AC1869,1.0
2021-01,AC1871,1.0
2021-01,AC2173,1.0
2021-01,AC2459,2.0
2021-01,AC2465,1.0
2021-01,AC2532,1.0
2021-01,AC2606,1.0
2021-01,AC6113,2.0
2021-01,AC6142,2.0
2021-01,AC8347,1.0
2021-01,AC8352,1.0
2021-01,AM2736900,1.0
2021-01,AP0156,2.0
2021-01,DB0113,3.0
2021-01,DP0208,1.0
2021-01,DP0692,1.0
2021-01,DR0234,2.0
2021-01,DT0766,1.0
2021-01,DT0772,0.0
2021-01,G96819,1.0
2021-01,M28177,1.0
2021-01,P2000658,2.0
2021-01,P2000676,1.0
2021-01,P2000678,1.0
2021-01,P2000680,3.0
2021-01,P2000726,1.0
2021-01,P2000822,1.0
2021-01,P2000838,1.0
2021-01,P2000848,2.0
2021-01,P2000852,2.0
2021-01,P2001053,1.0
2021-01,P2001577,1.0
2021-01,P2001621,2.0
2021-01,P2001630,3.0
2021-01,P2001638,1.0
2021-01,P2002404,6.0
2021-01,P2002406,8.0
2021-01,P2002412,2.0
2021-01,P2002414,2.0
2021-01,P2002444,1.0
2021-01,P2002445,1.0
2021-01,P2002463,1.0
2021-01,P2002465,3.0
2021-01,P2002469,2.0
2021-01,P2002471,1.0
2021-01,P2002591,0.0
2021-01,P2003472,3.0
2021-01,P2003474,1.0
2021-01,P2003475,3.0
2021-01,P2004413,3.0
2021-01,P2004415,1.0
2021-01,P42542,4.0
2021-01,P48498,1.0
2021-01,P5001635,1.0
2021-01,P5001647,1.0
