item_number,transaction_date_received,Quantity_received,period,transaction_date_shipped,Quantity_shipped,ship_receive_ratio,previous_ratio
08-104-599-504,2021-04-30 00:00:00,33.0,2021-04,2021-04-30 00:00:00,4.0,0.12121212121212122,
08-104-599-504,2023-05-31 00:00:00,5.0,2023-05,0,0.0,0.0,0.12121212121212122
08-105-085-057,2021-01-31 00:00:00,2.0,2021-01,2021-01-31 00:00:00,2.0,1.0,
08-105-085-057,2021-05-31 00:00:00,5.0,2021-05,0,0.0,0.0,1.0
08-105-085-057,2022-03-31 00:00:00,22.0,2022-03,0,0.0,0.0,0.0
08-105-173-065,2021-04-30 00:00:00,6.0,2021-04,2021-04-30 00:00:00,5.0,0.8333333333333334,
08-105-173-065,2022-08-31 00:00:00,31.0,2022-08,0,0.0,0.0,0.8333333333333334
08-105-173-065,2023-04-30 00:00:00,23.0,2023-04,0,0.0,0.0,0.0
08-105-687-059,2021-04-30 00:00:00,28.0,2021-04,0,0.0,0.0,
08-105-687-059,2021-07-31 00:00:00,24.0,2021-07,2021-07-31 00:00:00,24.0,1.0,0.0
08-105-687-059,2021-08-31 00:00:00,27.0,2021-08,2021-08-31 00:00:00,20.0,0.7407407407407407,1.0
08-105-687-059,2022-03-31 00:00:00,25.0,2022-03,2022-03-31 00:00:00,60.0,2.4,0.7407407407407407
08-105-687-059,2023-05-31 00:00:00,8.0,2023-05,0,0.0,0.0,2.4
08-111-626-501,2021-01-31 00:00:00,3.0,2021-01,0,0.0,0.0,
08-111-626-501,2021-02-28 00:00:00,1.0,2021-02,2021-02-28 00:00:00,2.0,2.0,0.0
08-111-626-501,2021-03-31 00:00:00,4.0,2021-03,0,0.0,0.0,2.0
08-111-626-501,2021-04-30 00:00:00,2.0,2021-04,0,0.0,0.0,0.0
08-111-626-501,2021-06-30 00:00:00,2.0,2021-06,0,0.0,0.0,0.0
08-111-626-501,2021-09-30 00:00:00,2.0,2021-09,2021-09-30 00:00:00,6.0,3.0,0.0
08-111-626-501,2021-11-30 00:00:00,3.0,2021-11,0,0.0,0.0,3.0
08-111-626-501,2022-01-31 00:00:00,2.0,2022-01,2022-01-31 00:00:00,1.0,0.5,0.0
08-111-626-501,2022-02-28 00:00:00,1.0,2022-02,0,0.0,0.0,0.5
08-111-626-501,2022-10-31 00:00:00,3.0,2022-10,0,0.0,0.0,0.0
08-111-626-501,2022-11-30 00:00:00,2.0,2022-11,0,0.0,0.0,0.0
08-111-626-501,2023-03-31 00:00:00,2.0,2023-03,0,0.0,0.0,0.0
08-111-627-501,2021-09-30 00:00:00,1.0,2021-09,0,0.0,0.0,
08-111-627-501,2022-01-31 00:00:00,2.0,2022-01,0,0.0,0.0,0.0
08-111-627-501,2022-10-31 00:00:00,2.0,2022-10,0,0.0,0.0,0.0
08-111-627-501,2022-11-30 00:00:00,1.0,2022-11,0,0.0,0.0,0.0
08-111-671-001,2021-04-30 00:00:00,16.0,2021-04,0,0.0,0.0,
08-112-783-501,2021-03-31 00:00:00,2.0,2021-03,0,0.0,0.0,
08-112-783-501,2021-04-30 00:00:00,2.0,2021-04,2021-04-30 00:00:00,1.0,0.5,0.0
08-112-783-501,2023-08-31 00:00:00,2.0,2023-08,0,0.0,0.0,0.5
08-217-566-005,2023-05-31 00:00:00,19.0,2023-05,0,0.0,0.0,
103251,2021-02-28 00:00:00,1008.0,2021-02,0,0.0,0.0,
103251,2021-03-31 00:00:00,3744.0,2021-03,0,0.0,0.0,0.0
103251,2021-04-30 00:00:00,3168.0,2021-04,0,0.0,0.0,0.0
103251,2021-05-31 00:00:00,144.0,2021-05,0,0.0,0.0,0.0
103252LF,2021-02-28 00:00:00,720.0,2021-02,0,0.0,0.0,
103252LF,2021-03-31 00:00:00,3600.0,2021-03,2021-03-31 00:00:00,144.0,0.04,0.0
103252LF,2021-05-31 00:00:00,1440.0,2021-05,0,0.0,0.0,0.04
103252LF,2021-06-30 00:00:00,1679.0,2021-06,2021-06-30 00:00:00,3646.0,2.1715306730196544,0.0
103252LF,2022-02-28 00:00:00,144.0,2022-02,2022-02-28 00:00:00,144.0,1.0,2.1715306730196544
103255LF,2021-02-28 00:00:00,144.0,2021-02,0,0.0,0.0,
