year_month,Overstocking,Normal,Understocking
2021-01,2,1,10
2021-02,47,34,67
2021-03,108,70,119
2021-04,148,87,86
2021-05,204,71,123
2021-06,162,97,244
2021-07,166,102,267
2021-08,158,94,281
2021-09,175,86,240
2021-10,176,67,137
2021-11,258,90,172
2021-12,307,74,163
2022-01,327,69,167
2022-02,355,61,146
2022-03,462,91,167
2022-04,376,46,80
2022-05,357,59,125
2022-06,504,83,136
2022-07,442,91,185
2022-08,351,97,236
2022-09,371,76,220
2022-10,277,64,170
2022-11,172,22,63
2022-12,351,78,220
2023-01,346,85,300
2023-02,326,91,348
2023-03,309,90,340
2023-04,263,80,253
2023-05,290,95,309
2023-06,299,84,291
2023-07,356,98,261
2023-08,294,68,158
2023-09,169,33,73
