year,month,item_number,Quantity_shipped,average_inventory,turnover_rate
2021,1,08-105-085-057,2.0,0.0,inf
2021,1,08-111-626-501,0.0,1.5,0.0
2021,1,103357LF,0.0,144.0,0.0
2021,1,103400,0.0,900.0,0.0
2021,1,103401LF,0.0,100.0,0.0
2021,1,103417,0.0,432.0,0.0
2021,1,104313,2.0,-1.0,-2.0
2021,1,115104,0.0,88.0,0.0
2021,1,115111,0.0,10.0,0.0
2021,1,115112,0.0,28.0,0.0
2021,1,115113,72.0,0.0,inf
2021,1,115114,0.0,18.0,0.0
2021,1,115115,72.0,-18.0,-4.0
2021,1,115116,0.0,36.0,0.0
2021,1,115117,0.0,9.0,0.0
2021,1,115118,0.0,36.0,0.0
2021,1,115119,0.0,18.0,0.0
2021,1,115120,0.0,27.0,0.0
2021,1,115121,0.0,100.0,0.0
2021,1,115122,0.0,10.0,0.0
2021,1,115123,140.0,54.0,2.5925925925925926
2021,1,115124,0.0,20.0,0.0
2021,1,115125,16.0,24.0,0.6666666666666666
2021,1,115126,32.0,-8.0,-4.0
2021,1,115127,0.0,16.0,0.0
2021,1,115128,16.0,3.0,5.333333333333333
2021,1,115129,0.0,4.0,0.0
2021,1,115172,0.0,16.5,0.0
2021,1,115177,0.0,9.0,0.0
2021,1,115178,18.0,0.0,inf
2021,1,115179,0.0,18.0,0.0
2021,1,115180,0.0,4.5,0.0
2021,1,115181,0.0,5.0,0.0
2021,1,115184,0.0,10.0,0.0
2021,1,115186,16.0,0.0,inf
2021,1,115187,0.0,6.0,0.0
2021,1,115189,0.0,3.0,0.0
2021,1,187202,0.0,34.0,0.0
2021,1,210619,0.0,1080.0,0.0
2021,1,235861,0.0,624.0,0.0
2021,1,236761,0.0,624.0,0.0
2021,1,500089,0.0,81.5,0.0
2021,1,52-115-223-001,0.0,0.5,0.0
2021,1,52-116-917-501,0.0,2.0,0.0
2021,1,52-116-918-501,0.0,2.0,0.0
2021,1,52-116-924-501,0.0,5.0,0.0
2021,1,52-116-926-501,0.0,2.0,0.0
2021,1,52-116-968-501,0.0,2.0,0.0
2021,1,52-123-957-501,4.0,-2.0,-2.0
2021,1,52-123-957-522,0.0,1.0,0.0
2021,1,52-461-475-000,0.0,1.0,0.0
2021,1,555075,8.0,-4.0,-2.0
2021,1,AC1860,0.0,8.0,0.0
2021,1,AC1863,0.0,6.0,0.0
2021,1,AC1866,0.0,4.0,0.0
2021,1,AC1868,0.0,2.0,0.0
2021,1,AC1869,0.0,2.0,0.0
2021,1,AC1871,0.0,2.0,0.0
2021,1,AC2173,0.0,0.5,0.0
2021,1,AC2459,0.0,3.5,0.0
2021,1,AC2465,0.0,1.0,0.0
2021,1,AC2532,0.0,2.5,0.0
2021,1,AC2606,0.0,1.5,0.0
2021,1,AC6113,0.0,99.0,0.0
2021,1,AC6142,0.0,1.0,0.0
2021,1,AC6325,0.0,0.5,0.0
2021,1,AC8347,0.0,1.0,0.0
2021,1,AC8352,0.0,0.5,0.0
2021,1,AM2736900,0.0,2.5,0.0
2021,1,AP0156,0.0,2.0,0.0
2021,1,DB0113,0.0,3.0,0.0
2021,1,DP0208,0.0,125.0,0.0
2021,1,DP0692,0.0,60.0,0.0
2021,1,DR0234,0.0,2.0,0.0
2021,1,DT0766,0.0,5.0,0.0
2021,1,DT0772,6.0,15.0,0.4
2021,1,G96819,0.0,48.0,0.0
2021,1,M1000227,240.0,-120.0,-2.0
2021,1,M28177,0.0,144.0,0.0
2021,1,P2000658,0.0,2.5,0.0
2021,1,P2000676,0.0,2.0,0.0
2021,1,P2000678,0.0,1.0,0.0
2021,1,P2000680,0.0,3.5,0.0
2021,1,P2000726,0.0,3.5,0.0
2021,1,P2000822,0.0,48.0,0.0
2021,1,P2000828,4.0,-2.0,-2.0
2021,1,P2000838,0.0,28.0,0.0
2021,1,P2000848,0.0,30.0,0.0
2021,1,P2000852,0.0,36.0,0.0
2021,1,P2001053,0.0,1.5,0.0
2021,1,P2001577,0.0,5.0,0.0
2021,1,P2001621,0.0,24.0,0.0
2021,1,P2001625,4.0,-2.0,-2.0
2021,1,P2001630,0.0,6.0,0.0
2021,1,P2001638,0.0,5.0,0.0
2021,1,P2001745,14.0,-7.0,-2.0
2021,1,P2002404,0.0,24.0,0.0
2021,1,P2002406,0.0,32.0,0.0
2021,1,P2002412,0.0,6.0,0.0
2021,1,P2002414,0.0,8.0,0.0
2021,1,P2002444,0.0,3.0,0.0
2021,1,P2002445,0.0,1.0,0.0
2021,1,P2002463,0.0,1.0,0.0
2021,1,P2002465,0.0,4.0,0.0
2021,1,P2002469,0.0,2.0,0.0
2021,1,P2002471,0.0,1.0,0.0
2021,1,P2002542,22.0,-11.0,-2.0
2021,1,P2002543,26.0,-13.0,-2.0
2021,1,P2002591,50.0,0.0,inf
2021,1,P2002629,2.0,-1.0,-2.0
2021,1,P2003472,0.0,5.0,0.0
2021,1,P2003474,0.0,0.5,0.0
2021,1,P2003475,0.0,3.0,0.0
2021,1,P2004413,0.0,15.0,0.0
2021,1,P2004415,0.0,10.0,0.0
2021,1,P2004746,0.0,1.5,0.0
2021,1,P2004866,0.0,2.0,0.0
2021,1,P42542,0.0,108.0,0.0
2021,1,P43971,12.0,-6.0,-2.0
2021,1,P48498,0.0,250.0,0.0
2021,1,P5001265,2.0,-1.0,-2.0
2021,1,P5001272,4.0,-2.0,-2.0
2021,1,P5001635,0.0,2.0,0.0
2021,1,P5001647,0.0,7.5,0.0
2021,1,P5001700,0.0,0.5,0.0
2021,1,P5001751,0.0,7.5,0.0
2021,1,P5002633,0.0,1.0,0.0
2021,1,P5002657,0.0,1.5,0.0
2021,1,P5003554,0.0,30.0,0.0
2021,1,P5003615,0.0,6.0,0.0
2021,1,P5003623,0.0,12.0,0.0
2021,1,P5004254,0.0,100.0,0.0
2021,1,P5004257,0.0,100.0,0.0
2021,1,P5004266,2.0,13.0,0.15384615384615385
2021,1,P5004269,0.0,2.0,0.0
2021,1,P5004272,0.0,6.0,0.0
2021,1,P5004276,0.0,4.0,0.0
2021,1,P5004283,0.0,4.0,0.0
2021,1,P5004287,0.0,2.0,0.0
2021,1,P5004293,0.0,4.0,0.0
2021,1,P5004297,2.0,1.0,2.0
2021,1,P58729,0.0,3.0,0.0
2021,1,P6010443,0.0,5.0,0.0
2021,1,P6010444,0.0,1.5,0.0
2021,1,P6010466,0.0,3.5,0.0
2021,1,P6010468,0.0,1.5,0.0
2021,1,P6010493,0.0,1.0,0.0
2021,1,P6010499,0.0,1.5,0.0
2021,1,P6010554,0.0,3.0,0.0
2021,1,P6010580,2.0,-0.5,-4.0
2021,1,P6010590,0.0,1.5,0.0
2021,1,P6010594,0.0,1.0,0.0
2021,1,P6010671,0.0,2.0,0.0
2021,1,P6014717,0.0,20.0,0.0
2021,1,P6015007,0.0,0.5,0.0
2021,1,P6015043,0.0,0.5,0.0
2021,1,P6015059,0.0,1.5,0.0
2021,1,P6015067,0.0,1.0,0.0
2021,1,P6015245,0.0,0.5,0.0
2021,1,P6015548,16.0,-8.0,-2.0
2021,1,P75149,0.0,200.0,0.0
2021,1,P78724,0.0,600.0,0.0
2021,1,P81486,0.0,250.0,0.0
2021,1,P81487,200.0,-50.0,-4.0
2021,1,P81488,0.0,200.0,0.0
2021,1,P81496,0.0,53.5,0.0
2021,1,P82329,0.0,15.0,0.0
2021,1,P82331,0.0,16.0,0.0
2021,1,P85166,0.0,24.0,0.0
2021,1,P85237,0.0,24.0,0.0
2021,1,P85238,96.0,-24.0,-4.0
2021,1,P85239,0.0,90.0,0.0
2021,1,P85242,0.0,18.0,0.0
2021,1,P85243,0.0,216.0,0.0
2021,1,P85245,64.0,0.0,inf
2021,1,P85246,0.0,36.0,0.0
2021,1,P85248,108.0,54.0,2.0
2021,1,P85250,0.0,24.0,0.0
2021,1,P85254,0.0,24.0,0.0
2021,1,P85255,72.0,-18.0,-4.0
2021,1,P85258,32.0,-8.0,-4.0
2021,1,P85266,0.0,35.0,0.0
2021,1,P85267,0.0,17.5,0.0
2021,1,P85285,0.0,48.0,0.0
2021,1,P85286,0.0,75.0,0.0
2021,1,P85287,0.0,57.0,0.0
2021,1,P85288,0.0,21.0,0.0
2021,1,P85289,0.0,30.0,0.0
2021,1,P85290,0.0,27.0,0.0
2021,1,P85291,0.0,42.0,0.0
2021,1,P85298,0.0,36.0,0.0
2021,1,P85299,0.0,2.0,0.0
2021,1,SM2717,0.0,4.0,0.0
2021,1,V1000292,0.0,90.0,0.0
2021,1,V1000296,0.0,120.0,0.0
2021,1,V1000936,0.0,5.0,0.0
2021,1,V1000938,0.0,7.0,0.0
2021,1,V1000945,0.0,7.0,0.0
2021,1,V1000956,0.0,3.0,0.0
2021,1,V1000965,10.0,-3.0,-3.3333333333333335
2021,1,V1000977,0.0,25.0,0.0
2021,1,V1000981,0.0,15.0,0.0
2021,1,V1000990,0.0,25.0,0.0
2021,1,V1001001,0.0,5.0,0.0
2021,1,V1001046,0.0,3.0,0.0
2021,1,V1001098,0.0,5.0,0.0
2021,1,V1001188,0.0,2.0,0.0
2021,1,V1001198,0.0,1.0,0.0
2021,1,V1001203,0.0,1.5,0.0
2021,1,V50694,254.0,-127.0,-2.0
2021,1,V51673,0.0,875.0,0.0
2021,2,08-111-626-501,2.0,2.5,0.8
2021,2,103251,0.0,504.0,0.0
2021,2,103252LF,0.0,360.0,0.0
2021,2,103255LF,0.0,72.0,0.0
2021,2,103257LF,0.0,144.0,0.0
2021,2,103258LF,0.0,144.0,0.0
2021,2,103260LF,0.0,144.0,0.0
