item_number,total_overstock_net,latest_inventory,reduction_percentage
08-104-599-504,25.0,1.0,2500.0
08-105-173-065,-13.0,-4.0,325.0
08-105-687-059,-10.0,-59.0,16.94915254237288
08-111-626-501,-1.0,5.0,-20.0
08-111-671-001,-8.0,8.0,-100.0
08-112-783-501,1.0,-5.0,-20.0
103251,-288.0,7776.0,-3.7037037037037033
103252LF,3456.0,3649.0,94.7108796930666
103255LF,-432.0,432.0,-100.0
103257LF,-144.0,1296.0,-11.11111111111111
103260LF,-144.0,1188.0,-12.121212121212121
103261LF,-3.0,9.0,-33.33333333333333
103350,0.0,1440.0,0.0
103400,0.0,3500.0,0.0
103401LF,-100.0,2100.0,-4.761904761904762
103402,-70.0,180.0,-38.88888888888889
103404,-20.0,0.0,-inf
103417,144.0,7056.0,2.0408163265306123
103418LF,971.0,715.0,135.8041958041958
104302,-6.0,38.0,-15.789473684210526
104303,59.0,39.0,151.28205128205127
104312,66.0,97.0,68.04123711340206
104313,-20.0,13.0,-153.84615384615387
104315,55.0,90.0,61.111111111111114
104321,-13.0,-52.0,25.0
104323,14.0,16.0,87.5
104326,14.0,-38.0,-36.84210526315789
104450LF,80.0,-144.0,-55.55555555555556
104451LF,-22.0,-69.0,31.88405797101449
104452LF,-24.0,-6.0,400.0
104453LF,-9.0,-3.0,300.0
104456LF,-38.0,-38.0,100.0
104458LF,7.0,-7.0,-100.0
104460LF,8.0,-56.0,-14.285714285714285
104465LF,8.0,-35.0,-22.857142857142858
104471LF,-39.0,9.0,-433.3333333333333
104476LF,19.0,14.0,135.71428571428572
104478LF,-2.0,20.0,-10.0
104502,51.0,-64.0,-79.6875
104600,-6.0,1.0,-600.0
104603,0.0,4.0,0.0
104609,-28.0,37.0,-75.67567567567568
104612,-3.0,15.0,-20.0
104645,-3.0,2.0,-150.0
104675,-1.0,2.0,-50.0
104706,-1.0,2.0,-50.0
104715,-2.0,4.0,-50.0
104800,3.0,4.0,75.0
106507,288.0,720.0,40.0
106514LF,990.0,778.0,127.24935732647815
107018,674.0,311.0,216.7202572347267
107019,-665.0,499.0,-133.26653306613227
107024,-73.0,334.0,-21.856287425149702
107034,1491.0,1026.0,145.3216374269006
110190LF,2340.0,2844.0,82.27848101265823
110192LF,36127.0,-6090.0,-593.2183908045977
110194LF,-196.0,296.0,-66.21621621621621
110195LF,755.0,-76.0,-993.421052631579
110197LF,-648.0,396.0,-163.63636363636365
110198LF,-420.0,785.0,-53.503184713375795
111031,921.0,561.0,164.1711229946524
111034,-2029.0,713.0,-284.57223001402525
111040,-106.0,1031.0,-10.281280310378275
111042,-287.0,637.0,-45.05494505494506
111044,121.0,484.0,25.0
111046,-156.0,174.0,-89.65517241379311
111047,129.0,660.0,19.545454545454547
111049,-101.0,196.0,-51.53061224489795
111061,596.0,1326.0,44.94720965309201
112097,204.0,462.0,44.15584415584416
112098,151.0,-2.0,-7550.0
112099,0.0,75.0,0.0
112100,-2.0,-92.0,2.1739130434782608
112118,-341.0,235.0,-145.1063829787234
112119,352.0,518.0,67.95366795366795
115104,-569.0,64.0,-889.0625
115111,364.0,-284.0,-128.16901408450704
115112,-221.0,-24.0,920.8333333333334
115113,-48.0,58.0,-82.75862068965517
115114,-2.0,-66.0,3.0303030303030303
115115,-71.0,167.0,-42.51497005988024
115116,-36.0,-232.0,15.517241379310345
115117,-11.0,241.0,-4.564315352697095
115118,-255.0,177.0,-144.0677966101695
115119,-290.0,313.0,-92.65175718849841
115120,-115.0,131.0,-87.78625954198473
115121,616.0,-17.0,-3623.529411764706
115122,30.0,157.0,19.10828025477707
115124,-98.0,8.0,-1225.0
115125,34.0,-173.0,-19.653179190751445
115126,-16.0,-213.0,7.511737089201878
115127,15.0,-15.0,-100.0
115128,-22.0,-30.0,73.33333333333333
115129,10.0,-30.0,-33.33333333333333
115170,-1.0,-76.0,1.3157894736842104
115174,2.0,30.0,6.666666666666667
115175,-12.0,-2.0,600.0
115176,32.0,38.0,84.21052631578947
115177,9.0,-186.0,-4.838709677419355
115178,86.0,148.0,58.108108108108105
115179,-18.0,-186.0,9.67741935483871
115180,-49.0,22.0,-222.72727272727272
115181,2.0,128.0,1.5625
115183,-4.0,4.0,-100.0
115185,-8.0,-40.0,20.0
115186,-30.0,-75.0,40.0
115188,7.0,3.0,233.33333333333334
115189,-32.0,-14.0,228.57142857142856
117103LF,-1084.0,3824.0,-28.34728033472803
117104LF,-125.0,1027.0,-12.171372930866601
117105LF,-4319.0,1241.0,-348.02578565672843
117106LF,472.0,298.0,158.38926174496643
117107LF,-476.0,624.0,-76.28205128205127
117401LF,1765.0,7141.0,24.716426270830418
117402LF,-1938.0,1518.0,-127.66798418972331
117403LF,-825.0,881.0,-93.64358683314416
117404LF,-3354.0,487.0,-688.7063655030801
117410LF,-693.0,6351.0,-10.911667453944261
117411LF,77.0,406.0,18.96551724137931
117412LF,-9788.0,-3119.0,313.81853158063484
117413LF,-22032.0,14927.0,-147.59831178401555
117414LF,-2442.0,-3176.0,76.88916876574308
117415LF,3295.0,18770.0,17.5546084176878
117416LF,-9864.0,2904.0,-339.6694214876033
117682LF,-4.0,0.0,-inf
132200,-34.0,216.0,-15.74074074074074
132201,-11.0,202.0,-5.445544554455446
132202,-34.0,180.0,-18.88888888888889
132204,-402.0,461.0,-87.20173535791757
132206,-411.0,543.0,-75.69060773480662
132207,-4.0,10.0,-40.0
169035,-192.0,270.0,-71.11111111111111
169038,-168.0,159.0,-105.66037735849056
169043,-5.0,28.0,-17.857142857142858
169053,-5.0,66.0,-7.575757575757576
175001,-5.0,-3.0,166.66666666666669
175004,-4.0,-12.0,33.33333333333333
175008,-1.0,0.0,-inf
175010,-1.0,4.0,-25.0
175011,26.0,11.0,236.36363636363637
175012,-1.0,1.0,-100.0
175014,12.0,-38.0,-31.57894736842105
175017,-10.0,16.0,-62.5
175019,-10.0,14.0,-71.42857142857143
175020,4.0,1.0,400.0
175022,4.0,-3.0,-133.33333333333331
175033,5.0,1.0,500.0
175053,-2.0,-2.0,100.0
175059,-1.0,3.0,-33.33333333333333
175065,-1.0,2.0,-50.0
175074,-1.0,3.0,-33.33333333333333
175078,-4.0,1.0,-400.0
175080,17.0,4.0,425.0
175822,-5.0,11.0,-45.45454545454545
175823,-2.0,4.0,-50.0
175824,6.0,10.0,60.0
175826,11.0,19.0,57.89473684210527
175830,0.0,10.0,0.0
175831,2.0,7.0,28.57142857142857
175832,0.0,3.0,0.0
175833,-3.0,6.0,-50.0
175838,-2.0,-1.0,200.0
175839,0.0,4.0,0.0
175843,2.0,5.0,40.0
175845,-2.0,-1.0,200.0
175849,-11.0,-4.0,275.0
175853,0.0,0.0,
175860,4.0,3.0,133.33333333333331
175862,-1.0,0.0,-inf
175863,-8.0,9.0,-88.88888888888889
178211,-1.0,3.0,-33.33333333333333
178473,5.0,-10.0,-50.0
178476,4.0,5.0,80.0
178483,6.0,10.0,60.0
178487,-2.0,-2.0,100.0
178490,7.0,5.0,140.0
178505,-3.0,7.0,-42.857142857142854
178515,-2.0,5.0,-40.0
178563,0.0,2.0,0.0
178582,1.0,5.0,20.0
178633,0.0,2.0,0.0
178635,-8.0,0.0,-inf
178640,-1.0,3.0,-33.33333333333333
178645,0.0,3.0,0.0
178654,-10.0,12.0,-83.33333333333334
178657,1.0,3.0,33.33333333333333
178670,-1.0,3.0,-33.33333333333333
178677,6.0,0.0,inf
178706,-1.0,0.0,-inf
178712,0.0,1.0,0.0
178733,1.0,-2.0,-50.0
178748,-1.0,5.0,-20.0
178776,-2.0,0.0,-inf
178781,-1.0,3.0,-33.33333333333333
178815,4.0,4.0,100.0
178882,0.0,-3.0,-0.0
178948,7.0,5.0,140.0
179214,-6.0,6.0,-100.0
179260,-1.0,0.0,-inf
179267,9.0,0.0,inf
179283,-2.0,7.0,-28.57142857142857
179314,0.0,2.0,0.0
179318,1.0,3.0,33.33333333333333
179343,7.0,2.0,350.0
179345,10.0,-3.0,-333.33333333333337
179354,-1.0,0.0,-inf
179357,-3.0,1.0,-300.0
179361,10.0,-12.0,-83.33333333333334
179365,-1.0,4.0,-25.0
180237,-1.0,8.0,-12.5
180254,-1.0,2.0,-50.0
180554,-2.0,3.0,-66.66666666666666
180705,1.0,0.0,inf
180719,-1.0,2.0,-50.0
180846,0.0,4.0,0.0
181839,-1.0,2.0,-50.0
181845,-1.0,0.0,-inf
181885,-3.0,-3.0,100.0
181909,-2.0,3.0,-66.66666666666666
181915,-1.0,1.0,-100.0
182194,11.0,1.0,1100.0
182209,5.0,4.0,125.0
182216,0.0,2.0,0.0
182218,0.0,2.0,0.0
182234,5.0,2.0,250.0
182551,-1.0,1.0,-100.0
182717,-1.0,5.0,-20.0
182718,-1.0,4.0,-25.0
183086,-1.0,2.0,-50.0
183299,2.0,8.0,25.0
183515,9.0,8.0,112.5
183534,-3.0,9.0,-33.33333333333333
183565,0.0,4.0,0.0
183567,-1.0,2.0,-50.0
183741,-2.0,3.0,-66.66666666666666
183765,2.0,1.0,200.0
183774,-3.0,1.0,-300.0
184001,0.0,4.0,0.0
184049,-1.0,2.0,-50.0
184069,-1.0,0.0,-inf
184085,2.0,0.0,inf
184089,3.0,2.0,150.0
184097,0.0,-1.0,-0.0
184411,-1.0,7.0,-14.285714285714285
184429,-1.0,0.0,-inf
184459,-2.0,1.0,-200.0
184722,-1.0,0.0,-inf
184738,3.0,0.0,inf
185022,237.0,1022.0,23.18982387475538
185025,-556.0,10492.0,-5.2992756385817765
185109,18.0,-29.0,-62.06896551724138
185113,-6.0,-15.0,40.0
185115,11.0,-16.0,-68.75
185117,-2.0,-1.0,200.0
185118,-5.0,-1.0,500.0
185141,1379.0,2831.0,48.71070293182621
185143,-260.0,557.0,-46.678635547576306
187202,1310.0,1639.0,79.9267846247712
188427,2.0,11.0,18.181818181818183
188431,-1.0,4.0,-25.0
188432,-8.0,7.0,-114.28571428571428
188434,0.0,5.0,0.0
188557,-1.0,-2.0,50.0
188561,-1.0,2.0,-50.0
188562,4.0,0.0,inf
188712,1.0,3.0,33.33333333333333
188715,0.0,-1.0,-0.0
1EF019LF,-3.0,6.0,-50.0
209047,-1056.0,146.0,-723.2876712328766
209085,-67.0,373.0,-17.962466487935657
210195,-1998.0,1862.0,-107.30397422126745
210590,-60.0,248.0,-24.193548387096776
210618,4513.0,16273.0,27.73305475327229
210619,-4740.0,15350.0,-30.879478827361563
216790,-6794.0,5146.0,-132.0248736883016
226220,-1467.0,434.0,-338.0184331797235
226260,-15.0,289.0,-5.190311418685121
226280,225.0,-363.0,-61.98347107438017
226700,-541.0,189.0,-286.2433862433862
226720,321.0,414.0,77.53623188405797
227000,-16.0,82.0,-19.51219512195122
227040,-20.0,106.0,-18.867924528301888
228680,239.0,-111.0,-215.31531531531533
228700,539.0,-18.0,-2994.4444444444443
230080,506.0,772.0,65.5440414507772
230120,240.0,1178.0,20.37351443123939
230440,-600.0,0.0,-inf
231820,1908.0,9660.0,19.751552795031056
231940,-573.0,-655.0,87.48091603053435
233600,-145.0,6253.0,-2.3188869342715495
235080,-159.0,-233.0,68.24034334763948
235400,-24.0,-87.0,27.586206896551722
235861,-288.0,12332.0,-2.335387609471294
235941,-360.0,359.0,-100.27855153203342
236761,-432.0,6376.0,-6.775407779171895
238020,-92.0,5.0,-1839.9999999999998
238030,45.0,45.0,100.0
238040,-2418.0,2935.0,-82.38500851788756
238460,-44.0,98.0,-44.89795918367347
238475,-19.0,25.0,-76.0
238480,-1111.0,4.0,-27775.0
241160,90.0,54.0,166.66666666666669
245005,626.0,3240.0,19.320987654320987
245122,-1640.0,6660.0,-24.624624624624623
245123,-22.0,-186.0,11.827956989247312
245142,-166.0,672.0,-24.702380952380953
245403,-264.0,300.0,-88.0
245404,-432.0,324.0,-133.33333333333331
245755,-252.0,729.0,-34.5679012345679
246271,-1394.0,1593.0,-87.50784682988073
247135,-20000.0,23725.0,-84.29926238145417
509101,-70.0,-541.0,12.939001848428836
510368,-167.0,518.0,-32.239382239382245
510762,5113.0,2183.0,234.2189647274393
510824,766.0,3880.0,19.742268041237114
512027,1330.0,415.0,320.48192771084337
512620,-4531.0,3138.0,-144.39133205863607
512740,-98.0,266.0,-36.84210526315789
513622,100.0,8.0,1250.0
517410,-4000.0,20.0,-20000.0
517412,-2950.0,0.0,-inf
517414,-3750.0,-225.0,1666.6666666666667
517415,-450.0,-225.0,200.0
517419,9900.0,-4400.0,-225.0
52-105-175-003,1376.0,1073.0,128.23858341099722
52-116-916-501,-11.0,25.0,-44.0
52-116-917-501,-3.0,55.0,-5.454545454545454
52-116-917-520,1.0,35.0,2.857142857142857
52-116-917-523,19.0,83.0,22.89156626506024
52-116-918-501,55.0,127.0,43.30708661417323
52-116-918-521,5.0,9.0,55.55555555555556
52-116-920-501,115.0,103.0,111.6504854368932
52-116-921-501,-8.0,15.0,-53.333333333333336
52-116-922-501,179.0,218.0,82.11009174311926
52-116-923-501,39.0,53.0,73.58490566037736
52-116-924-501,-79.0,66.0,-119.6969696969697
52-116-926-501,-9.0,14.0,-64.28571428571429
52-116-968-501,6.0,45.0,13.333333333333334
52-118-401-501,63.0,145.0,43.44827586206896
52-120-475-400,-4.0,26.0,-15.384615384615385
52-123-957-501,0.0,32.0,0.0
52-123-957-522,-3.0,-16.0,18.75
52-127-084-007,-1.0,15.0,-6.666666666666667
52-127-084-009,-12.0,18.0,-66.66666666666666
52-127-508-001,-25.0,29.0,-86.20689655172413
52-128-321-501,162.0,202.0,80.19801980198021
52-128-321-520,-4.0,10.0,-40.0
52-128-321-521,13.0,32.0,40.625
52-128-803-501,-1.0,-1.0,100.0
52-129-440-501,-1.0,97.0,-1.0309278350515463
52-129-440-520,-4.0,26.0,-15.384615384615385
52-129-440-521,-6.0,20.0,-30.0
52-129-475-501,-3.0,-1.0,300.0
52-219-923-309,-3.0,3.0,-100.0
52-229-646-001,20.0,-30.0,-66.66666666666666
52-235-608-001,-18.0,14.0,-128.57142857142858
52-236-149-017,-2.0,4.0,-50.0
52-239-343-001,8.0,20.0,40.0
52-239-343-003,-48.0,0.0,-inf
52-239-344-001,-18.0,16.0,-112.5
52-239-345-001,60.0,10.0,600.0
52-239-347-001,-30.0,51.0,-58.82352941176471
52-239-347-003,-2.0,0.0,-inf
52-239-349-001,-40.0,60.0,-66.66666666666666
52-239-349-003,-15.0,45.0,-33.33333333333333
52-239-351-002,-6.0,4.0,-150.0
52-239-562-001,445.0,182.0,244.50549450549454
52-239-563-001,-5.0,-16.0,31.25
52-239-566-001,-482.0,396.0,-121.71717171717171
52-239-567-001,-229.0,197.0,-116.24365482233503
52-239-570-001,431.0,575.0,74.95652173913044
52-239-571-001,-357.0,437.0,-81.6933638443936
52-239-611-001,-4.0,-1.0,400.0
52-261-022-001,-1.0,-3.0,33.33333333333333
52-261-521-001,-56.0,26.0,-215.3846153846154
52-261-582-001,-113.0,15.0,-753.3333333333334
52-261-625-002,58.0,0.0,inf
52-324-006-039,-2.0,0.0,-inf
