item_number,hour,0
P85286,6,232
P85287,9,221
P85286,12,214
P85286,11,207
P85287,6,203
P85286,9,184
P85287,12,184
P85287,11,176
P85286,7,176
P85287,10,175
P85287,7,171
P85287,5,162
P85289,9,158
P85286,5,155
V50833,6,146
115127,11,146
P85286,10,140
104450LF,6,125
P85289,6,121
115127,6,117
P85290,10,117
P85286,13,115
P85287,13,114
P85290,9,113
V50835,6,112
115127,10,111
115111,7,110
V51967,9,108
115104,11,105
V51967,6,104
P85290,7,104
V50837,11,103
V50833,7,102
P85289,10,101
P85289,5,100
P85289,13,100
104309,6,99
P64150,6,99
P85289,7,99
110192LF,7,96
P2004423,6,95
DM0005,7,95
P85287,8,95
P85290,5,94
P85290,11,92
V50833,9,92
V50833,10,90
P85290,6,89
115123,6,87
P2004411,6,87
P85289,11,86
P85298,6,86
P85298,7,83
V50835,9,82
104309,11,82
P2004419,6,81
V50837,10,79
110192LF,6,79
115127,7,78
104450LF,7,78
P85289,12,78
115126,6,77
52-116-924-501,6,76
V50836,9,75
P85291,10,75
115111,9,73
V50836,6,73
P64150,9,73
P85298,9,72
P2004411,11,72
P85288,11,72
P2002404,6,71
P85288,6,71
V50836,5,70
104306,6,70
P85288,9,69
52-128-321-501,6,69
SM0742,6,69
P5004634,11,69
P85291,7,68
104301,10,68
P64150,13,68
SM0742,7,67
P85286,8,67
115111,6,67
P85288,10,67
P2004411,7,67
SM2267,6,67
P85290,12,66
P2004421,6,66
V51961,6,65
P78927,6,65
P2001155,6,65
104308,6,65
P85285,9,64
P2004413,6,64
104456LF,10,64
104456LF,6,63
115126,9,63
104301,9,63
P85285,6,63
115119,7,62
V51973,9,62
P2000842,11,62
P64150,10,62
P2002406,11,61
P85290,13,61
P43972,6,61
P85291,11,61
P2004563,6,61
P5004634,6,61
P64150,11,60
P85285,10,60
V50836,10,60
115123,13,60
V51967,11,60
52-116-922-501,6,59
115128,6,59
104451LF,6,58
P85288,5,58
P78724,6,58
P85285,7,58
115123,12,58
104318,6,58
903580,7,57
V50837,9,57
P85288,7,57
104301,6,57
115187,5,57
P2004421,11,56
P43972,11,56
115123,11,56
P2001745,6,56
P44081,11,56
V50836,11,55
V50833,8,55
115128,11,55
115123,7,55
115119,6,55
104451LF,7,55
P2000842,6,55
V51967,7,55
P85285,5,55
115189,9,54
DM0005,10,54
104451LF,10,54
P2004411,10,54
P90527,7,54
V50835,10,53
V50835,13,53
104450LF,11,53
V50835,5,53
P2004417,6,53
104321,6,52
P2002404,11,52
115128,7,52
115111,11,51
P85243,6,51
P85291,12,51
P85291,8,51
104309,7,51
P2001127,6,51
P2000917,6,50
P85298,12,50
DR0612,6,50
115104,6,50
SM0744,11,50
P58492,7,50
P42542,6,49
110192LF,9,49
P5004634,10,49
104451LF,8,49
P2004415,6,49
115104,9,48
V51760,9,48
115128,10,48
DM0005,6,48
104450LF,10,48
P85248,9,48
115125,6,48
52-118-401-501,6,48
P2004411,8,48
185111,8,48
104456LF,5,48
104456LF,7,48
P2000850,6,47
115123,10,47
P44081,6,47
P78725,6,47
P2001625,11,47
P2004565,6,46
P2002392,6,46
115125,10,46
P2001125,5,46
104310,11,46
230080,6,46
P2004417,11,46
P2004419,7,46
104306,9,46
P2004421,10,46
P2004419,11,45
P2004563,11,45
DM2045,6,45
P85290,8,45
V51976,8,45
P61449,6,45
185116,11,45
P75214,6,45
104450LF,9,45
V50836,7,44
P2001127,7,44
DM0005,8,44
P90527,11,44
P85289,8,44
P42542,7,44
P70905,6,44
P2000864,6,44
M28099,6,44
P2000848,6,44
P2004419,8,44
P5004635,11,44
104301,7,44
115121,6,44
P2000880,6,44
P2004413,11,43
52-427-144-501,11,43
P2000838,6,43
P70962,6,43
M28099,9,43
P85288,13,43
P2001745,11,43
903582,6,43
P85291,13,43
110192LF,10,43
115123,5,43
P2001155,11,43
110192LF,8,43
P2004411,5,43
P2002406,6,42
104301,8,42
V51961,11,42
SM0745,6,42
P81334,6,42
V51973,8,42
P85287,14,42
V51973,6,42
104456LF,11,42
P85243,7,42
P2002400,10,42
DM0005,9,41
P2004622,6,41
104310,6,41
P42542,11,41
115126,5,41
P2001127,10,41
P2004415,9,41
185115,7,41
SM0744,7,41
V50833,11,41
P85298,10,41
G96819,7,41
P2000842,7,41
P85291,9,41
P2002406,7,41
SM0744,6,41
P85298,8,41
P2002406,10,41
V50835,8,41
104321,9,40
115125,7,40
P2002394,6,40
SM2117,6,40
115188,5,40
V1000296,9,40
52-128-321-501,11,40
115126,7,40
115104,5,40
P2004620,10,40
115129,7,40
115123,9,39
P2002404,7,39
104318,7,39
115121,7,39
P5001017,6,39
115188,6,39
V51961,10,39
P2002400,7,39
117415LF,6,39
P78725,11,39
P2000866,6,39
SM0743,6,39
M28099,11,39
P5001387,6,38
P85291,6,38
DP3598,6,38
P2002404,8,38
P79025,6,38
P2004413,8,38
104328,6,38
P58492,10,38
SM2267,7,38
SM2267,9,38
P85298,11,38
104451LF,11,38
P90528,6,38
P2000852,6,38
104306,8,38
P2000842,12,38
P64150,7,38
110196LF,6,38
P2001155,9,37
111034,10,37
P85286,14,37
V51964,8,37
104309,10,37
V51961,7,37
P2004419,10,37
P2000888,13,37
P2000890,6,37
P90527,6,37
104321,11,37
P2004423,11,37
P2000842,13,37
P2001011,7,37
115184,6,37
DP3598,7,37
115125,9,37
115121,9,37
115119,11,37
P2004413,7,37
P2004423,7,36
P2001125,11,36
P81290,8,36
115125,11,36
G96819,6,36
115123,8,36
104465LF,6,36
SM0742,11,36
P85298,5,36
P85288,12,36
P85291,5,36
52-460-769-011,7,36
DP0692,6,36
P85243,9,36
115104,13,36
P2004563,7,36
P90528,11,35
P77179,6,35
P82364,6,35
P81290,10,35
P2002404,10,35
P90524,11,35
P78927,7,35
P90527,9,35
P2002398,6,35
P2000842,9,35
P77119,10,35
P5004632,6,35
SM0745,7,35
115179,6,35
P85285,11,35
P2002400,6,35
115104,7,35
P2002398,10,35
P85285,13,35
P2000854,6,35
104310,13,35
104308,8,35
104308,5,35
P2001155,7,34
185109,7,34
P2002864,6,34
P78927,11,34
P2002500,6,34
P5001021,6,34
P2004423,8,34
P64150,5,34
P2004423,9,34
104315,9,34
P81290,7,34
104306,11,34
115123,14,34
V1000288,6,34
175014,6,34
P2004413,10,34
P2000828,6,34
185116,6,34
P85248,6,34
P78724,11,34
P2004421,7,34
P2004423,10,34
P2002591,11,33
111042,7,33
P90523,6,33
SM0757,6,33
P79025,9,33
104309,9,33
52-116-924-501,7,33
P2002390,8,33
104308,7,33
V1000296,6,33
185114,7,33
P5004634,13,33
104300,6,33
P85243,11,33
V51970,7,33
SM2272,8,33
P78724,7,33
V50835,7,33
104301,11,33
SM0746,6,33
903582,9,33
104301,5,33
AC6113,6,32
SM0756,6,32
104308,11,32
P2004563,9,32
P2002392,12,32
115118,9,32
P90527,13,32
DR0614,6,32
115187,9,32
104321,8,32
P78927,5,32
52-427-144-501,6,32
SM2267,8,32
P2002404,13,32
P5004347,6,32
111040,6,32
P2002390,6,32
G96819,10,32
P2002398,11,32
V1000294,6,32
P42542,5,32
P2002591,7,32
P2004421,5,32
V1000298,6,32
P5001539,6,32
P2004561,11,32
185115,6,32
P2004563,8,32
104309,5,31
P85248,13,31
P2001745,9,31
52-116-922-501,11,31
V50834,10,31
104326,6,31
P85285,12,31
111034,6,31
115121,12,31
115129,11,31
52-129-440-501,6,31
P2000919,6,31
P2002394,10,31
P58492,6,31
903583,10,31
P41820,6,31
52-116-920-501,11,31
P61449,7,31
115120,6,31
P2001011,6,31
P85298,13,31
P90523,10,31
DP1606,6,31
115127,13,31
115128,5,31
P2004411,12,31
104315,10,31
903582,11,31
115185,6,30
P2002394,11,30
103400,7,30
P5001017,11,30
52-427-285-501,6,30
P5001023,6,30
P43672,8,30
DT0421,12,30
P2004563,10,30
P2004413,9,30
P2001007,6,30
P2001745,7,30
175080,6,30
DP3598,11,30
V51976,7,30
115111,5,30
104450LF,5,30
P5004635,6,30
V51967,12,30
P70877,6,30
52-116-918-501,6,30
SM0744,5,30
P90528,8,30
115127,12,30
903580,8,30
P2002406,9,30
115128,8,30
115122,7,30
P75214,11,30
185116,8,30
V51961,9,30
104326,9,30
104451LF,9,30
P2002390,7,30
DP1603,6,29
P2002400,11,29
P2004417,10,29
104456LF,8,29
104328,10,29
V50835,11,29
104303,7,29
P2001007,7,29
SM2262,6,29
110192LF,12,29
104450LF,8,29
115111,12,29
104321,7,29
231940,6,29
DT0772,6,29
P2001127,8,29
185108,6,29
115187,7,29
104308,13,29
104308,10,29
52-116-917-523,6,29
P2000850,11,29
104318,10,29
P79025,11,29
115121,11,29
P44081,7,29
P90527,10,29
52-427-285-501,7,28
P2004419,9,28
P2001741,6,28
60B0B1000,7,28
P5001021,11,28
110193LF,6,28
P90528,7,28
P77179,9,28
P2004427,6,28
107034,7,28
P86236,6,28
P2001745,8,28
52-116-920-501,6,28
P2002412,6,28
P90523,7,28
P78738,6,28
P85337,6,28
P2004417,9,28
P78725,9,28
P2000838,11,28
SM2253,11,28
115128,13,28
52-116-922-501,7,28
P2004423,5,28
P44081,10,28
903580,10,28
115188,9,28
104326,7,28
V50835,12,28
104309,8,28
52-116-922-501,10,28
104303,6,28
P2002412,11,28
185116,7,28
P2000828,11,28
115128,9,28
P5004632,11,28
V51970,6,28
P44081,5,28
P03429,6,28
P2001125,6,27
P2000848,11,27
P2004417,7,27
P90524,7,27
115104,12,27
V50836,8,27
P90523,11,27
SM2253,10,27
104323,11,27
DP0208,6,27
P2000850,7,27
111034,11,27
179359,10,27
P5004632,9,27
P2000822,6,27
115182,11,27
185111,7,27
V50833,13,27
P2002400,8,27
115186,6,27
P2001630,11,27
P81290,6,27
SM0756,9,27
52-116-920-501,10,27
115127,8,27
P5001019,11,27
P43972,9,27
V50815,9,27
104450LF,13,27
SM0745,10,27
P2004421,9,27
P78725,8,27
115129,12,27
P2001125,10,26
SM2256,10,26
115189,10,26
104459LF,11,26
P2004421,13,26
903576,10,26
V50834,6,26
P2001127,9,26
239600,6,26
P2002484,6,26
P44081,12,26
V50838,6,26
P5004634,9,26
P79018,6,26
52-239-566-001,6,26
M28099,5,26
P2002404,12,26
117414LF,10,26
V50815,6,26
DR0614,11,26
P5001016,6,26
P2001625,6,26
185110,6,26
P2001630,7,26
P2001617,6,26
P90527,8,26
P2001742,12,26
P2004565,10,26
P2001742,11,26
104476LF,7,26
P2004415,8,26
P2001742,6,26
P85290,14,26
P51561,6,26
P2002504,11,26
230080,12,26
P2002394,8,26
DP3598,10,26
P2000854,10,26
185115,9,26
P77119,6,26
231900,6,26
115128,12,26
P85248,7,26
104456LF,9,26
P85238,7,26
P77119,7,26
P85246,6,26
SM2269,7,26
117104LF,6,26
903580,6,26
P5001331,6,26
P85243,10,26
P5004634,12,26
P2004425,6,26
115124,6,26
60B0B1001,6,25
P2001745,10,25
P2000888,11,25
P2004620,11,25
185110,7,25
P2000832,10,25
P2002536,6,25
SM0746,7,25
P2001605,6,25
P64150,12,25
P79025,5,25
104318,12,25
SM0742,9,25
P77115,10,25
115125,12,25
DT0420,6,25
SM2117,7,25
115119,9,25
115182,10,25
DE0951,6,25
SM0748,7,25
P2004429,8,25
115182,6,25
115126,13,25
903582,8,25
P85245,6,25
P2001617,7,25
903585,7,25
P2004626,6,25
P2001155,12,25
104301,12,25
52-427-285-501,11,25
104312,6,25
P77119,9,25
V1000296,7,25
512027,6,25
P2000848,7,25
SM2256,6,25
104308,12,25
G96819,12,25
P2000838,10,25
52-116-922-501,9,25
SM0756,12,25
235061,6,25
P2000856,6,25
SM2118,6,25
DM2060,6,25
V50832,7,25
P2002402,6,25
P2004634,6,25
V1000292,6,25
104309,13,25
P41780,9,25
104306,5,25
P85243,8,24
52-427-144-501,7,24
P2002392,7,24
226280,6,24
SM0712,6,24
SM2269,6,24
AC1863,9,24
P90523,8,24
P6010267,11,24
185111,10,24
V51970,12,24
DR0614,13,24
V50838,9,24
117415LF,11,24
G96817,12,24
52-239-567-001,7,24
115129,5,24
P77179,7,24
F74000,11,24
V51967,8,24
P2000852,11,24
