item_number,transaction_date_received,Quantity_received,period,transaction_date_shipped,Quantity_shipped,ship_receive_ratio,previous_ratio
08-104-599-504,2021-06-30 00:00:00,33.0,2021Q2,2021-06-30 00:00:00,4.0,0.12121212121212122,
08-104-599-504,2023-06-30 00:00:00,5.0,2023Q2,0,0.0,0.0,0.12121212121212122
08-105-085-057,2021-03-31 00:00:00,2.0,2021Q1,2021-03-31 00:00:00,2.0,1.0,
08-105-085-057,2021-06-30 00:00:00,5.0,2021Q2,2021-06-30 00:00:00,10.0,2.0,1.0
08-105-085-057,2022-03-31 00:00:00,22.0,2022Q1,0,0.0,0.0,2.0
08-105-173-065,2021-06-30 00:00:00,6.0,2021Q2,2021-06-30 00:00:00,6.0,1.0,
08-105-173-065,2022-09-30 00:00:00,31.0,2022Q3,0,0.0,0.0,1.0
08-105-173-065,2023-06-30 00:00:00,23.0,2023Q2,2023-06-30 00:00:00,28.0,1.2173913043478262,0.0
08-105-687-059,2021-06-30 00:00:00,28.0,2021Q2,0,0.0,0.0,
08-105-687-059,2021-09-30 00:00:00,51.0,2021Q3,2021-09-30 00:00:00,54.0,1.0588235294117647,0.0
08-105-687-059,2022-03-31 00:00:00,25.0,2022Q1,2022-03-31 00:00:00,65.0,2.6,1.0588235294117647
08-105-687-059,2023-06-30 00:00:00,8.0,2023Q2,2023-06-30 00:00:00,8.0,1.0,2.6
08-111-626-501,2021-03-31 00:00:00,8.0,2021Q1,2021-03-31 00:00:00,2.0,0.25,
08-111-626-501,2021-06-30 00:00:00,4.0,2021Q2,2021-06-30 00:00:00,1.0,0.25,0.25
08-111-626-501,2021-09-30 00:00:00,2.0,2021Q3,2021-09-30 00:00:00,10.0,5.0,0.25
08-111-626-501,2021-12-31 00:00:00,3.0,2021Q4,2021-12-31 00:00:00,5.0,1.6666666666666667,5.0
08-111-626-501,2022-03-31 00:00:00,3.0,2022Q1,2022-03-31 00:00:00,1.0,0.3333333333333333,1.6666666666666667
08-111-626-501,2022-12-31 00:00:00,5.0,2022Q4,0,0.0,0.0,0.3333333333333333
