year,quarter_x,item_number,received_qty,quarter_y,shipped_qty,turnover_rate
2021,1.0,08-105-085-057,2.0,1.0,2.0,1.0
2021,1.0,08-105-085-057,2.0,2.0,10.0,5.0
2021,2.0,08-105-085-057,5.0,1.0,2.0,0.4
2021,2.0,08-105-085-057,5.0,2.0,10.0,2.0
2021,1.0,08-111-626-501,8.0,1.0,2.0,0.25
2021,1.0,08-111-626-501,8.0,2.0,1.0,0.125
2021,1.0,08-111-626-501,8.0,3.0,10.0,1.25
2021,1.0,08-111-626-501,8.0,4.0,5.0,0.625
2021,2.0,08-111-626-501,4.0,1.0,2.0,0.5
2021,2.0,08-111-626-501,4.0,2.0,1.0,0.25
2021,2.0,08-111-626-501,4.0,3.0,10.0,2.5
2021,2.0,08-111-626-501,4.0,4.0,5.0,1.25
2021,3.0,08-111-626-501,2.0,1.0,2.0,1.0
2021,3.0,08-111-626-501,2.0,2.0,1.0,0.5
2021,3.0,08-111-626-501,2.0,3.0,10.0,5.0
2021,3.0,08-111-626-501,2.0,4.0,5.0,2.5
2021,4.0,08-111-626-501,3.0,1.0,2.0,0.6666666666666666
2021,4.0,08-111-626-501,3.0,2.0,1.0,0.3333333333333333
2021,4.0,08-111-626-501,3.0,3.0,10.0,3.3333333333333335
2021,4.0,08-111-626-501,3.0,4.0,5.0,1.6666666666666667
2021,1.0,08-112-783-501,2.0,2.0,7.0,3.5
2021,1.0,08-112-783-501,2.0,3.0,3.0,1.5
2021,1.0,08-112-783-501,2.0,4.0,1.0,0.5
2021,2.0,08-112-783-501,2.0,2.0,7.0,3.5
2021,2.0,08-112-783-501,2.0,3.0,3.0,1.5
2021,2.0,08-112-783-501,2.0,4.0,1.0,0.5
2021,1.0,103251,4752.0,2.0,288.0,0.06060606060606061
2021,2.0,103251,3312.0,2.0,288.0,0.08695652173913043
2021,1.0,103252LF,4320.0,1.0,144.0,0.03333333333333333
2021,1.0,103252LF,4320.0,2.0,3646.0,0.8439814814814814
2021,2.0,103252LF,3119.0,1.0,144.0,0.04616864379608849
2021,2.0,103252LF,3119.0,2.0,3646.0,1.1689644116704072
2021,1.0,103255LF,288.0,1.0,144.0,0.5
2021,1.0,103255LF,288.0,4.0,288.0,1.0
2021,2.0,103255LF,720.0,1.0,144.0,0.2
2021,2.0,103255LF,720.0,4.0,288.0,0.4
2021,1.0,103257LF,720.0,3.0,288.0,0.4
2021,2.0,103257LF,720.0,3.0,288.0,0.4
2021,3.0,103257LF,144.0,3.0,288.0,2.0
2021,1.0,103258LF,576.0,2.0,576.0,1.0
2021,2.0,103258LF,576.0,2.0,576.0,1.0
2021,1.0,103260LF,1008.0,2.0,864.0,0.8571428571428571
2021,1.0,103260LF,1008.0,3.0,288.0,0.2857142857142857
2021,2.0,103260LF,1152.0,2.0,864.0,0.75
2021,2.0,103260LF,1152.0,3.0,288.0,0.25
2021,3.0,103260LF,144.0,2.0,864.0,6.0
2021,3.0,103260LF,144.0,3.0,288.0,2.0
2021,1.0,103267,42.0,1.0,42.0,1.0
2021,1.0,103267,42.0,2.0,288.0,6.857142857142857
2021,1.0,103267,42.0,3.0,288.0,6.857142857142857
2021,2.0,103267,144.0,1.0,42.0,0.2916666666666667
2021,2.0,103267,144.0,2.0,288.0,2.0
2021,2.0,103267,144.0,3.0,288.0,2.0
2021,3.0,103267,144.0,1.0,42.0,0.2916666666666667
2021,3.0,103267,144.0,2.0,288.0,2.0
2021,3.0,103267,144.0,3.0,288.0,2.0
2021,1.0,103350,576.0,0.0,0.0,0.0
2021,2.0,103350,432.0,0.0,0.0,0.0
2021,3.0,103350,432.0,0.0,0.0,0.0
2021,1.0,103351LF,288.0,2.0,576.0,2.0
2021,2.0,103351LF,288.0,2.0,576.0,2.0
2021,1.0,103400,2420.0,1.0,20.0,0.008264462809917356
2021,1.0,103400,2420.0,2.0,3600.0,1.487603305785124
2021,2.0,103400,4700.0,1.0,20.0,0.00425531914893617
2021,2.0,103400,4700.0,2.0,3600.0,0.7659574468085106
2021,1.0,103401LF,1200.0,3.0,200.0,0.16666666666666666
2021,2.0,103401LF,1000.0,3.0,200.0,0.2
2021,3.0,103401LF,200.0,3.0,200.0,1.0
2021,1.0,103402,180.0,2.0,40.0,0.2222222222222222
2021,1.0,103402,180.0,3.0,100.0,0.5555555555555556
2021,2.0,103402,90.0,2.0,40.0,0.4444444444444444
2021,2.0,103402,90.0,3.0,100.0,1.1111111111111112
2021,3.0,103402,50.0,2.0,40.0,0.8
2021,3.0,103402,50.0,3.0,100.0,2.0
2021,1.0,103417,4032.0,2.0,1296.0,0.32142857142857145
2021,2.0,103417,4320.0,2.0,1296.0,0.3
2021,1.0,104300,44.0,2.0,108.0,2.4545454545454546
2021,1.0,104300,44.0,3.0,198.0,4.5
2021,1.0,104300,44.0,4.0,38.0,0.8636363636363636
2021,2.0,104300,86.0,2.0,108.0,1.255813953488372
2021,2.0,104300,86.0,3.0,198.0,2.302325581395349
2021,2.0,104300,86.0,4.0,38.0,0.4418604651162791
2021,3.0,104300,62.0,2.0,108.0,1.7419354838709677
2021,3.0,104300,62.0,3.0,198.0,3.193548387096774
2021,3.0,104300,62.0,4.0,38.0,0.6129032258064516
2021,4.0,104300,54.0,2.0,108.0,2.0
2021,4.0,104300,54.0,3.0,198.0,3.6666666666666665
2021,4.0,104300,54.0,4.0,38.0,0.7037037037037037
2021,1.0,104302,7.0,1.0,11.0,1.5714285714285714
2021,1.0,104302,7.0,3.0,20.0,2.857142857142857
2021,2.0,104302,39.0,1.0,11.0,0.28205128205128205
2021,2.0,104302,39.0,3.0,20.0,0.5128205128205128
2021,3.0,104302,19.0,1.0,11.0,0.5789473684210527
2021,3.0,104302,19.0,3.0,20.0,1.0526315789473684
2021,1.0,104303,3.0,1.0,6.0,2.0
2021,1.0,104303,3.0,2.0,3.0,1.0
2021,1.0,104303,3.0,3.0,146.0,48.666666666666664
2021,1.0,104303,3.0,4.0,12.0,4.0
2021,2.0,104303,113.0,1.0,6.0,0.05309734513274336
2021,2.0,104303,113.0,2.0,3.0,0.02654867256637168
2021,2.0,104303,113.0,3.0,146.0,1.2920353982300885
2021,2.0,104303,113.0,4.0,12.0,0.10619469026548672
2021,3.0,104303,60.0,1.0,6.0,0.1
2021,3.0,104303,60.0,2.0,3.0,0.05
2021,3.0,104303,60.0,3.0,146.0,2.433333333333333
2021,3.0,104303,60.0,4.0,12.0,0.2
2021,4.0,104303,30.0,1.0,6.0,0.2
2021,4.0,104303,30.0,2.0,3.0,0.1
2021,4.0,104303,30.0,3.0,146.0,4.866666666666666
2021,4.0,104303,30.0,4.0,12.0,0.4
2021,1.0,104306,10.0,1.0,72.0,7.2
2021,1.0,104306,10.0,2.0,18.0,1.8
2021,1.0,104306,10.0,3.0,408.0,40.8
2021,1.0,104306,10.0,4.0,110.0,11.0
2021,2.0,104306,108.0,1.0,72.0,0.6666666666666666
2021,2.0,104306,108.0,2.0,18.0,0.16666666666666666
2021,2.0,104306,108.0,3.0,408.0,3.7777777777777777
2021,2.0,104306,108.0,4.0,110.0,1.0185185185185186
2021,3.0,104306,256.0,1.0,72.0,0.28125
2021,3.0,104306,256.0,2.0,18.0,0.0703125
2021,3.0,104306,256.0,3.0,408.0,1.59375
2021,3.0,104306,256.0,4.0,110.0,0.4296875
2021,4.0,104306,51.0,1.0,72.0,1.411764705882353
2021,4.0,104306,51.0,2.0,18.0,0.35294117647058826
2021,4.0,104306,51.0,3.0,408.0,8.0
2021,4.0,104306,51.0,4.0,110.0,2.156862745098039
2021,1.0,104308,72.0,1.0,78.0,1.0833333333333333
2021,1.0,104308,72.0,2.0,114.0,1.5833333333333333
2021,1.0,104308,72.0,3.0,338.0,4.694444444444445
2021,1.0,104308,72.0,4.0,71.0,0.9861111111111112
2021,3.0,104308,169.0,1.0,78.0,0.46153846153846156
2021,3.0,104308,169.0,2.0,114.0,0.6745562130177515
2021,3.0,104308,169.0,3.0,338.0,2.0
2021,3.0,104308,169.0,4.0,71.0,0.42011834319526625
2021,4.0,104308,90.0,1.0,78.0,0.8666666666666667
2021,4.0,104308,90.0,2.0,114.0,1.2666666666666666
2021,4.0,104308,90.0,3.0,338.0,3.7555555555555555
2021,4.0,104308,90.0,4.0,71.0,0.7888888888888889
2021,1.0,104309,12.0,1.0,102.0,8.5
2021,1.0,104309,12.0,2.0,330.0,27.5
2021,1.0,104309,12.0,3.0,268.0,22.333333333333332
2021,1.0,104309,12.0,4.0,82.0,6.833333333333333
2021,2.0,104309,136.0,1.0,102.0,0.75
2021,2.0,104309,136.0,2.0,330.0,2.426470588235294
2021,2.0,104309,136.0,3.0,268.0,1.9705882352941178
2021,2.0,104309,136.0,4.0,82.0,0.6029411764705882
2021,3.0,104309,152.0,1.0,102.0,0.6710526315789473
2021,3.0,104309,152.0,2.0,330.0,2.1710526315789473
2021,3.0,104309,152.0,3.0,268.0,1.763157894736842
2021,3.0,104309,152.0,4.0,82.0,0.5394736842105263
2021,4.0,104309,90.0,1.0,102.0,1.1333333333333333
2021,4.0,104309,90.0,2.0,330.0,3.6666666666666665
2021,4.0,104309,90.0,3.0,268.0,2.977777777777778
2021,4.0,104309,90.0,4.0,82.0,0.9111111111111111
2021,1.0,104310,31.0,1.0,20.0,0.6451612903225806
2021,1.0,104310,31.0,3.0,234.0,7.548387096774194
2021,1.0,104310,31.0,4.0,48.0,1.5483870967741935
2021,2.0,104310,36.0,1.0,20.0,0.5555555555555556
2021,2.0,104310,36.0,3.0,234.0,6.5
2021,2.0,104310,36.0,4.0,48.0,1.3333333333333333
2021,3.0,104310,82.0,1.0,20.0,0.24390243902439024
2021,3.0,104310,82.0,3.0,234.0,2.8536585365853657
2021,3.0,104310,82.0,4.0,48.0,0.5853658536585366
2021,4.0,104310,50.0,1.0,20.0,0.4
2021,4.0,104310,50.0,3.0,234.0,4.68
2021,4.0,104310,50.0,4.0,48.0,0.96
2021,1.0,104312,25.0,1.0,28.0,1.12
2021,1.0,104312,25.0,2.0,16.0,0.64
2021,1.0,104312,25.0,3.0,152.0,6.08
2021,1.0,104312,25.0,4.0,61.0,2.44
2021,2.0,104312,20.0,1.0,28.0,1.4
2021,2.0,104312,20.0,2.0,16.0,0.8
2021,2.0,104312,20.0,3.0,152.0,7.6
2021,2.0,104312,20.0,4.0,61.0,3.05
2021,3.0,104312,62.0,1.0,28.0,0.45161290322580644
2021,3.0,104312,62.0,2.0,16.0,0.25806451612903225
2021,3.0,104312,62.0,3.0,152.0,2.4516129032258065
2021,3.0,104312,62.0,4.0,61.0,0.9838709677419355
2021,4.0,104312,32.0,1.0,28.0,0.875
2021,4.0,104312,32.0,2.0,16.0,0.5
2021,4.0,104312,32.0,3.0,152.0,4.75
2021,4.0,104312,32.0,4.0,61.0,1.90625
2021,1.0,104313,11.0,1.0,3.0,0.2727272727272727
2021,1.0,104313,11.0,3.0,37.0,3.3636363636363638
2021,1.0,104313,11.0,4.0,1.0,0.09090909090909091
2021,2.0,104313,13.0,1.0,3.0,0.23076923076923078
2021,2.0,104313,13.0,3.0,37.0,2.8461538461538463
2021,2.0,104313,13.0,4.0,1.0,0.07692307692307693
2021,3.0,104313,24.0,1.0,3.0,0.125
2021,3.0,104313,24.0,3.0,37.0,1.5416666666666667
2021,3.0,104313,24.0,4.0,1.0,0.041666666666666664
2021,1.0,104318,48.0,1.0,58.0,1.2083333333333333
2021,1.0,104318,48.0,2.0,80.0,1.6666666666666667
2021,1.0,104318,48.0,3.0,162.0,3.375
2021,1.0,104318,48.0,4.0,96.0,2.0
2021,2.0,104318,40.0,1.0,58.0,1.45
2021,2.0,104318,40.0,2.0,80.0,2.0
2021,2.0,104318,40.0,3.0,162.0,4.05
2021,2.0,104318,40.0,4.0,96.0,2.4
2021,3.0,104318,133.0,1.0,58.0,0.43609022556390975
2021,3.0,104318,133.0,2.0,80.0,0.6015037593984962
2021,3.0,104318,133.0,3.0,162.0,1.218045112781955
2021,3.0,104318,133.0,4.0,96.0,0.7218045112781954
2021,4.0,104318,44.0,1.0,58.0,1.3181818181818181
2021,4.0,104318,44.0,2.0,80.0,1.8181818181818181
2021,4.0,104318,44.0,3.0,162.0,3.6818181818181817
2021,4.0,104318,44.0,4.0,96.0,2.1818181818181817
2021,1.0,104321,54.0,1.0,39.0,0.7222222222222222
2021,1.0,104321,54.0,2.0,49.0,0.9074074074074074
2021,1.0,104321,54.0,3.0,115.0,2.1296296296296298
2021,1.0,104321,54.0,4.0,54.0,1.0
2021,2.0,104321,40.0,1.0,39.0,0.975
