year,quarter,item_number,shipped_qty,average_inventory,turnover_rate
2021,1,08-105-085-057,2.0,0.0,inf
2021,1,08-111-626-501,2.0,2.6666666666666665,0.75
2021,1,08-111-627-501,3.0,-1.5,-2.0
2021,1,08-112-783-501,0.0,1.0,0.0
2021,1,103251,0.0,1692.0,0.0
2021,1,103252LF,144.0,1404.0,0.10256410256410256
2021,1,103255LF,144.0,108.0,1.3333333333333333
2021,1,103257LF,0.0,324.0,0.0
2021,1,103258LF,0.0,288.0,0.0
2021,1,103260LF,0.0,396.0,0.0
2021,1,103267,42.0,0.0,inf
2021,1,103350,0.0,360.0,0.0
2021,1,103351LF,0.0,144.0,0.0
2021,1,103400,20.0,1800.0,0.011111111111111112
2021,1,103401LF,0.0,400.0,0.0
2021,1,103402,0.0,90.0,0.0
2021,1,103417,0.0,1440.0,0.0
2021,1,104300,0.0,15.0,0.0
2021,1,104302,11.0,-2.0,-5.5
2021,1,104303,6.0,0.75,8.0
2021,1,104304,3.0,-1.75,-1.7142857142857142
2021,1,104306,72.0,-28.5,-2.526315789473684
2021,1,104308,78.0,16.5,4.7272727272727275
2021,1,104309,102.0,-37.5,-2.72
2021,1,104310,20.0,14.75,1.3559322033898304
2021,1,104312,28.0,-2.25,-12.444444444444445
2021,1,104313,3.0,0.6666666666666666,4.5
2021,1,104318,58.0,1.5,38.666666666666664
2021,1,104321,39.0,14.25,2.736842105263158
2021,1,104323,0.0,8.0,0.0
2021,1,104450LF,101.0,38.75,2.606451612903226
2021,1,104451LF,0.0,56.5,0.0
2021,1,104452LF,12.0,15.0,0.8
2021,1,104453LF,2.0,9.25,0.21621621621621623
2021,1,104456LF,0.0,5.0,0.0
2021,1,104459LF,16.0,-3.0,-5.333333333333333
2021,1,104460LF,8.0,4.5,1.7777777777777777
2021,1,104462LF,2.0,-1.0,-2.0
2021,1,104463LF,4.0,0.5,8.0
2021,1,104465LF,3.0,6.0,0.5
2021,1,104478LF,2.0,1.0,2.0
2021,1,104603,14.0,-4.5,-3.111111111111111
2021,1,104606,8.0,-4.0,-2.0
2021,1,104608,10.0,-5.0,-2.0
2021,1,104609,2.0,0.0,inf
2021,1,104612,3.0,-1.5,-2.0
2021,1,104618,3.0,-1.5,-2.0
2021,1,106507,0.0,72.0,0.0
2021,1,106514LF,144.0,72.0,2.0
2021,1,110191LF,0.0,3.0,0.0
2021,1,110194LF,0.0,6.0,0.0
2021,1,112098,12.0,-6.0,-2.0
2021,1,112100,41.0,-17.25,-2.3768115942028984
2021,1,112118,39.0,-19.5,-2.0
2021,1,112119,86.0,-43.0,-2.0
2021,1,115104,144.0,228.66666666666666,0.6297376093294461
2021,1,115111,150.0,61.666666666666664,2.4324324324324325
2021,1,115112,46.0,61.0,0.7540983606557377
2021,1,115113,139.0,5.166666666666667,26.903225806451612
2021,1,115114,108.0,6.0,18.0
2021,1,115115,72.0,-18.0,-4.0
2021,1,115116,72.0,42.0,1.7142857142857142
2021,1,115117,19.0,5.833333333333333,3.257142857142857
2021,1,115118,66.0,126.0,0.5238095238095238
2021,1,115119,184.0,18.0,10.222222222222221
2021,1,115120,72.0,36.0,2.0
2021,1,115121,150.0,152.33333333333334,0.9846827133479211
2021,1,115122,40.0,10.0,4.0
2021,1,115123,348.0,-12.666666666666666,-27.47368421052632
2021,1,115124,60.0,20.0,3.0
2021,1,115125,86.0,29.0,2.9655172413793105
2021,1,115126,72.0,-4.0,-18.0
2021,1,115127,40.0,18.0,2.2222222222222223
2021,1,115128,28.0,15.0,1.8666666666666667
2021,1,115129,8.0,12.0,0.6666666666666666
2021,1,115170,56.0,-28.0,-2.0
2021,1,115172,69.0,7.5,9.2
2021,1,115174,0.0,18.0,0.0
2021,1,115175,0.0,2.5,0.0
2021,1,115176,9.0,-4.5,-2.0
2021,1,115177,27.0,28.5,0.9473684210526315
2021,1,115178,36.0,-4.5,-8.0
2021,1,115179,36.0,27.0,1.3333333333333333
