antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'P85285'}),frozenset({'P85286'}),0.024154589371980676,0.04678362573099415,0.01512840071192474,0.6263157894736843,13.387500000000003,0.013998361443060147,2.550860719874805,0.948207005574507
frozenset({'P85286'}),frozenset({'P85285'}),0.04678362573099415,0.024154589371980676,0.01512840071192474,0.32336956521739135,13.387500000000003,0.013998361443060147,1.4422132976349844,0.97071712120431
frozenset({'P85285'}),frozenset({'P85287'}),0.024154589371980676,0.048944825832697686,0.015382659547419273,0.6368421052631579,13.01142857142857,0.014200417377547347,2.6188475810403977,0.945994599459946
frozenset({'P85287'}),frozenset({'P85285'}),0.048944825832697686,0.024154589371980676,0.015382659547419273,0.3142857142857143,13.01142857142857,0.014200417377547347,1.423107890499195,0.9706529268085209
frozenset({'P85285'}),frozenset({'P85288'}),0.024154589371980676,0.02949402491736588,0.010933129926264938,0.45263157894736844,15.346551724137932,0.010220713865458999,1.7730397621701972,0.9579783559751324
frozenset({'P85288'}),frozenset({'P85285'}),0.02949402491736588,0.024154589371980676,0.010933129926264938,0.3706896551724138,15.346551724137932,0.010220713865458999,1.550658460723976,0.963248868282043
frozenset({'P85285'}),frozenset({'P85289'}),0.024154589371980676,0.04093567251461988,0.012331553521484871,0.5105263157894737,12.471428571428573,0.011342769161228353,1.9593787335722819,0.9425844646320303
frozenset({'P85289'}),frozenset({'P85285'}),0.04093567251461988,0.024154589371980676,0.012331553521484871,0.30124223602484473,12.471428571428572,0.011342769161228353,1.3965432098765433,0.9590771938647222
frozenset({'P85285'}),frozenset({'P85290'}),0.024154589371980676,0.039410119501652685,0.013348588863463006,0.5526315789473685,14.022580645161291,0.012396653609799897,2.1472009093492472,0.9516737388024517
frozenset({'P85290'}),frozenset({'P85285'}),0.039410119501652685,0.024154589371980676,0.013348588863463006,0.3387096774193548,14.02258064516129,0.012396653609799897,1.4756686697301753,0.9667876679523053
frozenset({'P85286'}),frozenset({'P85287'}),0.04678362573099415,0.048944825832697686,0.031019577930333078,0.6630434782608696,13.546753246753248,0.028729761517107454,2.8224863233352204,0.9716383385296188
frozenset({'P85287'}),frozenset({'P85286'}),0.048944825832697686,0.04678362573099415,0.031019577930333078,0.6337662337662338,13.546753246753248,0.028729761517107454,2.6027539297416116,0.9738463122971637
frozenset({'P85286'}),frozenset({'P85288'}),0.04678362573099415,0.02949402491736588,0.017289600813628275,0.3695652173913044,12.530172413793105,0.015909763390593613,1.5394232708207303,0.9653554673403103
frozenset({'P85288'}),frozenset({'P85286'}),0.02949402491736588,0.04678362573099415,0.017289600813628275,0.5862068965517242,12.530172413793105,0.015909763390593613,2.3036062378167643,0.9481576230177688
frozenset({'P85286'}),frozenset({'P85289'}),0.04678362573099415,0.04093567251461988,0.022374777523518942,0.4782608695652174,11.683229813664598,0.02045965834154842,1.8382066276803117,0.9592861126603457
frozenset({'P85289'}),frozenset({'P85286'}),0.04093567251461988,0.04678362573099415,0.022374777523518942,0.546583850931677,11.683229813664598,0.02045965834154842,2.102299126812465,0.9534368070953436
frozenset({'P85290'}),frozenset({'P85286'}),0.039410119501652685,0.04678362573099415,0.021739130434782608,0.5516129032258064,11.790725806451611,0.019895382154003535,2.1258782447726023,0.952734978437801
frozenset({'P85286'}),frozenset({'P85290'}),0.04678362573099415,0.039410119501652685,0.021739130434782608,0.46467391304347827,11.790725806451613,0.019895382154003535,1.7944014011339686,0.9601047608797043
frozenset({'P85286'}),frozenset({'P85291'}),0.04678362573099415,0.026188660055936945,0.012712941774726672,0.27173913043478265,10.376213592233011,0.01148774130427348,1.3371737802216987,0.9479754601226993
frozenset({'P85291'}),frozenset({'P85286'}),0.026188660055936945,0.04678362573099415,0.012712941774726672,0.4854368932038835,10.376213592233011,0.01148774130427348,1.8524771047114643,0.9279268929503914
frozenset({'P85286'}),frozenset({'P85298'}),0.04678362573099415,0.024535977625222475,0.013094330027968473,0.2798913043478261,11.40738341968912,0.011946448033806017,1.354606642392144,0.9571147775329084
frozenset({'P85298'}),frozenset({'P85286'}),0.024535977625222475,0.04678362573099415,0.013094330027968473,0.533678756476684,11.40738341968912,0.011946448033806017,2.044119558154646,0.935285625171608
frozenset({'P85288'}),frozenset({'P85287'}),0.02949402491736588,0.048944825832697686,0.018560894991100942,0.6293103448275863,12.85754590237349,0.017117315078415223,2.5656372140327233,0.9502513987532344
frozenset({'P85287'}),frozenset({'P85288'}),0.048944825832697686,0.02949402491736588,0.018560894991100942,0.37922077922077924,12.85754590237349,0.017117315078415223,1.5633673657188876,0.9696857610055062
frozenset({'P85289'}),frozenset({'P85287'}),0.04093567251461988,0.048944825832697686,0.023773201118738877,0.5807453416149069,11.865306122448981,0.021769611757166456,2.2684427117175656,0.9548063127690101
frozenset({'P85287'}),frozenset({'P85289'}),0.048944825832697686,0.04093567251461988,0.023773201118738877,0.4857142857142857,11.86530612244898,0.021769611757166456,1.8648473034437947,0.9628470556783064
frozenset({'P85290'}),frozenset({'P85287'}),0.039410119501652685,0.048944825832697686,0.023137554030002543,0.5870967741935483,11.99507331378299,0.02120863259494835,2.303336749936435,0.9542391171560044
frozenset({'P85287'}),frozenset({'P85290'}),0.048944825832697686,0.039410119501652685,0.023137554030002543,0.4727272727272727,11.99507331378299,0.02120863259494835,1.8218083940485894,0.9638057437816828
frozenset({'P85287'}),frozenset({'P85291'}),0.048944825832697686,0.026188660055936945,0.013602847698957539,0.2779220779220779,10.61230614046148,0.012321048293727979,1.348623618267857,0.9523840458132565
frozenset({'P85291'}),frozenset({'P85287'}),0.026188660055936945,0.048944825832697686,0.013602847698957539,0.5194174757281553,10.612306140461481,0.012321048293727979,1.9789632917016593,0.9301285961787169
frozenset({'P85298'}),frozenset({'P85287'}),0.024535977625222475,0.048944825832697686,0.015764047800661072,0.6424870466321243,13.126761321579973,0.01456313864915959,2.6601978060041933,0.9470567091140699
frozenset({'P85287'}),frozenset({'P85298'}),0.048944825832697686,0.024535977625222475,0.015764047800661072,0.3220779220779221,13.126761321579975,0.01456313864915959,1.4389028682539822,0.9713629366437986
frozenset({'P85289'}),frozenset({'P85288'}),0.04093567251461988,0.02949402491736588,0.015255530129672006,0.37267080745341613,12.635467980295566,0.014048172384516677,1.5470441781020208,0.9601626016260162
frozenset({'P85288'}),frozenset({'P85289'}),0.02949402491736588,0.04093567251461988,0.015255530129672006,0.5172413793103449,12.635467980295568,0.014048172384516677,1.9866332497911445,0.9488428958169591
frozenset({'P85290'}),frozenset({'P85288'}),0.039410119501652685,0.02949402491736588,0.013348588863463006,0.3387096774193548,11.48401001112347,0.012186225816884895,1.467594401344471,0.9503768685875621
frozenset({'P85288'}),frozenset({'P85290'}),0.02949402491736588,0.039410119501652685,0.013348588863463006,0.4525862068965517,11.48401001112347,0.012186225816884895,1.7547783643749335,0.9406664421073643
frozenset({'P85290'}),frozenset({'P85289'}),0.039410119501652685,0.04093567251461988,0.020594965675057208,0.5225806451612903,12.765898617511521,0.01898168592937552,2.0088509562193773,0.9594795077413748
frozenset({'P85289'}),frozenset({'P85290'}),0.04093567251461988,0.039410119501652685,0.020594965675057208,0.5031055900621119,12.765898617511521,0.01898168592937552,1.9331871345029241,0.9610057211683228
frozenset({'P85289'}),frozenset({'P85291'}),0.04093567251461988,0.026188660055936945,0.012712941774726672,0.31055900621118016,11.85852981969487,0.01164089136308013,1.4124650966756231,0.9547560975609757
frozenset({'P85291'}),frozenset({'P85289'}),0.026188660055936945,0.04093567251461988,0.012712941774726672,0.4854368932038835,11.85852981969487,0.01164089136308013,1.8638419949244178,0.9402976501305482
frozenset({'P85298'}),frozenset({'P85289'}),0.024535977625222475,0.04093567251461988,0.011314518179506738,0.461139896373057,11.26498889711325,0.010310121434614591,1.7798020692757537,0.9341496594654831
frozenset({'P85289'}),frozenset({'P85298'}),0.04093567251461988,0.024535977625222475,0.011314518179506738,0.27639751552795033,11.264988897113252,0.010310121434614591,1.3480661596767312,0.9501233214579338
frozenset({'P85290'}),frozenset({'P85291'}),0.039410119501652685,0.026188660055936945,0.013348588863463006,0.3387096774193548,12.933448167867208,0.012316490641070373,1.4725927579641929,0.9605359348609747
frozenset({'P85291'}),frozenset({'P85290'}),0.026188660055936945,0.039410119501652685,0.013348588863463006,0.5097087378640777,12.933448167867208,0.012316490641070373,1.9592229245807875,0.9474947159020266
frozenset({'P85290'}),frozenset({'P85298'}),0.039410119501652685,0.024535977625222475,0.012712941774726672,0.3225806451612903,13.14725054320575,0.011745975964426777,1.4399706996961,0.9618448914769719
frozenset({'P85298'}),frozenset({'P85290'}),0.024535977625222475,0.039410119501652685,0.012712941774726672,0.5181347150259068,13.14725054320575,0.011745975964426777,1.9934822251202262,0.9471784178287501
"frozenset({'P85285', 'P85286'})",frozenset({'P85287'}),0.01512840071192474,0.048944825832697686,0.012331553521484871,0.8151260504201681,16.65397795481829,0.011591096583512456,5.144343896632226,0.9543927213593824
"frozenset({'P85285', 'P85287'})",frozenset({'P85286'}),0.015382659547419273,0.04678362573099415,0.012331553521484871,0.8016528925619835,17.1353305785124,0.011611896934471105,4.805799220272904,0.956352285811265
"frozenset({'P85286', 'P85287'})",frozenset({'P85285'}),0.031019577930333078,0.024154589371980676,0.012331553521484871,0.3975409836065574,16.458196721311477,0.011582288354085521,1.6197706135594332,0.9693075118958413
frozenset({'P85285'}),"frozenset({'P85286', 'P85287'})",0.024154589371980676,0.031019577930333078,0.012331553521484871,0.5105263157894737,16.458196721311477,0.011582288354085521,1.979637421432653,0.9624885168929265
frozenset({'P85286'}),"frozenset({'P85285', 'P85287'})",0.04678362573099415,0.015382659547419273,0.012331553521484871,0.26358695652173914,17.135330578512395,0.011611896934471105,1.3370449493968624,0.9878565555625831
frozenset({'P85287'}),"frozenset({'P85285', 'P85286'})",0.048944825832697686,0.01512840071192474,0.012331553521484871,0.2519480519480519,16.653977954818288,0.011591096583512456,1.316581825437184,0.9883278187904203
"frozenset({'P85285', 'P85289'})",frozenset({'P85287'}),0.012331553521484871,0.048944825832697686,0.010170353419781338,0.8247422680412372,16.850448520551616,0.009566787680425671,5.42660893495461,0.952398957394774
"frozenset({'P85285', 'P85287'})",frozenset({'P85289'}),0.015382659547419273,0.04093567251461988,0.010170353419781338,0.6611570247933884,16.15112160566706,0.009540653906144291,2.8304093567251463,0.9527404777275662
"frozenset({'P85289', 'P85287'})",frozenset({'P85285'}),0.023773201118738877,0.024154589371980676,0.010170353419781338,0.42780748663101603,17.711229946524064,0.009596121508700688,1.7054494559573794,0.9665158223727047
frozenset({'P85285'}),"frozenset({'P85289', 'P85287'})",0.024154589371980676,0.023773201118738877,0.010170353419781338,0.4210526315789474,17.711229946524064,0.009596121508700688,1.68620992534036,0.9668935643564356
frozenset({'P85289'}),"frozenset({'P85285', 'P85287'})",0.04093567251461988,0.015382659547419273,0.010170353419781338,0.24844720496894412,16.15112160566706,0.009540653906144291,1.3101106761393844,0.9781249999999999
frozenset({'P85287'}),"frozenset({'P85285', 'P85289'})",0.048944825832697686,0.012331553521484871,0.010170353419781338,0.2077922077922078,16.850448520551616,0.009566787680425671,1.2467290226040275,0.9890639620371606
"frozenset({'P85285', 'P85290'})",frozenset({'P85287'}),0.013348588863463006,0.048944825832697686,0.01080600050851767,0.8095238095238094,16.53951762523191,0.010152656151483185,4.993039664378335,0.9522499374701562
"frozenset({'P85285', 'P85287'})",frozenset({'P85290'}),0.015382659547419273,0.039410119501652685,0.01080600050851767,0.7024793388429752,17.824846707544655,0.010199768057500638,3.228649320563889,0.9586450461398245
"frozenset({'P85290', 'P85287'})",frozenset({'P85285'}),0.023137554030002543,0.024154589371980676,0.01080600050851767,0.467032967032967,19.335164835164832,0.010247122391850941,1.8309676776731905,0.9707413418256422
frozenset({'P85285'}),"frozenset({'P85290', 'P85287'})",0.024154589371980676,0.023137554030002543,0.01080600050851767,0.4473684210526316,19.335164835164836,0.010247122391850941,1.7676558546123766,0.971753057658707
frozenset({'P85290'}),"frozenset({'P85285', 'P85287'})",0.039410119501652685,0.015382659547419273,0.01080600050851767,0.27419354838709675,17.824846707544655,0.010199768057500638,1.3565838912902224,0.9826238594961542
frozenset({'P85287'}),"frozenset({'P85285', 'P85290'})",0.048944825832697686,0.013348588863463006,0.01080600050851767,0.22077922077922077,16.53951762523191,0.010152656151483185,1.266202644291889,0.9878908922210776
"frozenset({'P85286', 'P85288'})",frozenset({'P85287'}),0.017289600813628275,0.048944825832697686,0.01398423595219934,0.8088235294117647,16.525210084033613,0.013137999451659435,4.974750141798197,0.9560155239327296
"frozenset({'P85286', 'P85287'})",frozenset({'P85288'}),0.031019577930333078,0.02949402491736588,0.01398423595219934,0.4508196721311476,15.285118711136237,0.013069343747795923,1.7671899844788266,0.9644951217766751
"frozenset({'P85288', 'P85287'})",frozenset({'P85286'}),0.018560894991100942,0.04678362573099415,0.01398423595219934,0.7534246575342466,16.10445205479452,0.01311588998770339,3.8658219623131904,0.9556429580781913
frozenset({'P85286'}),"frozenset({'P85288', 'P85287'})",0.04678362573099415,0.018560894991100942,0.01398423595219934,0.2989130434782609,16.10445205479452,0.01311588998770339,1.3998821342762593,0.9839375348577802
frozenset({'P85288'}),"frozenset({'P85286', 'P85287'})",0.02949402491736588,0.031019577930333078,0.01398423595219934,0.47413793103448276,15.285118711136237,0.013069343747795923,1.8426512944275635,0.9629790173148831
frozenset({'P85287'}),"frozenset({'P85286', 'P85288'})",0.048944825832697686,0.017289600813628275,0.01398423595219934,0.28571428571428575,16.525210084033613,0.013137999451659435,1.3757945588609206,0.9878358508220826
"frozenset({'P85286', 'P85289'})",frozenset({'P85287'}),0.022374777523518942,0.048944825832697686,0.019577930333079075,0.875,17.87727272727273,0.018482800744145083,7.608441393338419,0.9656697009102732
"frozenset({'P85286', 'P85287'})",frozenset({'P85289'}),0.031019577930333078,0.04093567251461988,0.019577930333079075,0.6311475409836066,15.418032786885247,0.01830812304938123,2.6001299545159196,0.9650771689606642
"frozenset({'P85289', 'P85287'})",frozenset({'P85286'}),0.023773201118738877,0.04678362573099415,0.019577930333079075,0.8235294117647058,17.602941176470587,0.018465733789512342,5.401559454191032,0.9661600282774915
frozenset({'P85286'}),"frozenset({'P85289', 'P85287'})",0.04678362573099415,0.023773201118738877,0.019577930333079075,0.41847826086956524,17.602941176470587,0.018465733789512342,1.6787451494780563,0.9894829097283084
frozenset({'P85289'}),"frozenset({'P85286', 'P85287'})",0.04093567251461988,0.031019577930333078,0.019577930333079075,0.4782608695652174,15.418032786885247,0.01830812304938123,1.8572124756335284,0.9750554323725057
frozenset({'P85287'}),"frozenset({'P85286', 'P85289'})",0.048944825832697686,0.022374777523518942,0.019577930333079075,0.4,17.87727272727273,0.018482800744145083,1.6293753707941352,0.9926480417056543
"frozenset({'P85290', 'P85286'})",frozenset({'P85287'}),0.021739130434782608,0.048944825832697686,0.017670989066870074,0.8128654970760234,16.607792207792208,0.01660697111398534,5.082201086956522,0.9606714628297361
"frozenset({'P85290', 'P85287'})",frozenset({'P85286'}),0.023137554030002543,0.04678362573099415,0.017670989066870074,0.7637362637362637,16.32486263736264,0.01658853039879978,4.03454372365021,0.9609784322463943
"frozenset({'P85286', 'P85287'})",frozenset({'P85290'}),0.031019577930333078,0.039410119501652685,0.017670989066870074,0.569672131147541,14.454970914859862,0.01644850379374482,2.2322279127771116,0.9606175988099576
frozenset({'P85290'}),"frozenset({'P85286', 'P85287'})",0.039410119501652685,0.031019577930333078,0.017670989066870074,0.4483870967741935,14.454970914859862,0.01644850379374482,1.7566311745122616,0.9690083824946396
frozenset({'P85286'}),"frozenset({'P85290', 'P85287'})",0.04678362573099415,0.023137554030002543,0.017670989066870074,0.37771739130434784,16.32486263736264,0.01658853039879978,1.5698051533491664,0.9848170543319945
frozenset({'P85287'}),"frozenset({'P85290', 'P85286'})",0.048944825832697686,0.021739130434782608,0.017670989066870074,0.36103896103896105,16.607792207792208,0.01660697111398534,1.5310180275715801,0.9881522398709824
"frozenset({'P85286', 'P85298'})",frozenset({'P85287'}),0.013094330027968473,0.048944825832697686,0.010933129926264938,0.8349514563106796,17.05903416971378,0.010292230223650157,5.762275467013654,0.9538703270433091
"frozenset({'P85286', 'P85287'})",frozenset({'P85298'}),0.031019577930333078,0.024535977625222475,0.010933129926264938,0.3524590163934426,14.364987683683005,0.01017203425622244,1.5064127940471248,0.9601703758398272
"frozenset({'P85298', 'P85287'})",frozenset({'P85286'}),0.015764047800661072,0.04678362573099415,0.010933129926264938,0.6935483870967742,14.82459677419355,0.010195630613953309,3.1104955370883354,0.947480670219221
frozenset({'P85286'}),"frozenset({'P85298', 'P85287'})",0.04678362573099415,0.015764047800661072,0.010933129926264938,0.23369565217391305,14.82459677419355,0.010195630613953309,1.2843930156360168,0.978313596804109
frozenset({'P85298'}),"frozenset({'P85286', 'P85287'})",0.024535977625222475,0.031019577930333078,0.010933129926264938,0.4455958549222798,14.364987683683005,0.01017203425622244,1.747787116443418,0.9537884275578214
frozenset({'P85287'}),"frozenset({'P85286', 'P85298'})",0.048944825832697686,0.013094330027968473,0.010933129926264938,0.22337662337662337,17.05903416971378,0.010292230223650157,1.2707648258837194,0.9898269414299169
"frozenset({'P85286', 'P85289'})",frozenset({'P85288'}),0.022374777523518942,0.02949402491736588,0.011060259344012205,0.4943181818181819,16.759943181818183,0.01040033709821302,1.9192028271297037,0.9618552232336368
"frozenset({'P85286', 'P85288'})",frozenset({'P85289'}),0.017289600813628275,0.04093567251461988,0.011060259344012205,0.6397058823529412,15.627100840336137,0.010352497907197012,2.6618928273063616,0.9524765430997308
"frozenset({'P85289', 'P85288'})",frozenset({'P85286'}),0.015255530129672006,0.04678362573099415,0.011060259344012205,0.7250000000000001,15.496875000000003,0.010346550332097726,3.4662413609782043,0.9499630510074164
frozenset({'P85286'}),"frozenset({'P85289', 'P85288'})",0.04678362573099415,0.015255530129672006,0.011060259344012205,0.2364130434782609,15.496875000000003,0.010346550332097726,1.2896297683711058,0.9813835413581553
frozenset({'P85289'}),"frozenset({'P85286', 'P85288'})",0.04093567251461988,0.017289600813628275,0.011060259344012205,0.2701863354037267,15.627100840336134,0.010352497907197012,1.3465223342043051,0.9759601906363891
