item_number,total_overstock_net,latest_inventory,reduction_percentage
08-104-599-504,-22.0,1.0,-2200.0
08-105-085-057,-22.0,-5.0,440.00000000000006
08-105-173-065,-30.0,-4.0,750.0
08-105-687-059,-24.0,-59.0,40.67796610169492
08-111-626-501,-5.0,5.0,-100.0
08-112-783-501,-6.0,-5.0,120.0
08-217-566-005,-19.0,0.0,-inf
103259LF,-144.0,0.0,-inf
103261LF,-103.0,9.0,-1144.4444444444446
103267,0.0,-288.0,-0.0
103306LF,-838.0,-419.0,200.0
103351LF,-288.0,0.0,-inf
103400,100.0,3500.0,2.857142857142857
103404,-140.0,0.0,-inf
104303,-202.0,39.0,-517.948717948718
104306,-117.0,-158.0,74.0506329113924
104308,-6.0,-168.0,3.571428571428571
104310,-45.0,-90.0,50.0
104313,-37.0,13.0,-284.61538461538464
104315,4.0,90.0,4.444444444444445
104318,-8.0,-113.0,7.079646017699115
104321,-92.0,-52.0,176.9230769230769
104323,-18.0,16.0,-112.5
104326,-5.0,-38.0,13.157894736842104
104450LF,-112.0,-144.0,77.77777777777779
104451LF,-373.0,-69.0,540.5797101449275
104452LF,-24.0,-6.0,400.0
104453LF,-26.0,-3.0,866.6666666666666
104454LF,-12.0,18.0,-66.66666666666666
104456LF,-197.0,-38.0,518.421052631579
104458LF,-4.0,-7.0,57.14285714285714
104459LF,0.0,-94.0,-0.0
104460LF,-13.0,-56.0,23.214285714285715
104463LF,-6.0,-2.0,300.0
104465LF,8.0,-35.0,-22.857142857142858
104468LF,4.0,-5.0,-80.0
104471LF,-58.0,9.0,-644.4444444444445
104473LF,-1.0,0.0,-inf
104476LF,-3.0,14.0,-21.428571428571427
104478LF,2.0,20.0,10.0
104502,-305.0,-64.0,476.5625
104503,0.0,0.0,
104504,-2.0,0.0,-inf
104600,-6.0,1.0,-600.0
104602,-1.0,-4.0,25.0
104606,-2.0,-10.0,20.0
104609,5.0,37.0,13.513513513513514
104610,-1.0,0.0,-inf
104618,-8.0,0.0,-inf
104621,3.0,5.0,60.0
104631,-1.0,0.0,-inf
104639,0.0,0.0,
104643,0.0,0.0,
104675,2.0,2.0,100.0
104681,-2.0,0.0,-inf
104701,-2.0,0.0,-inf
104706,0.0,2.0,0.0
104726,-5.0,0.0,-inf
104728,0.0,0.0,
104800,-26.0,4.0,-650.0
106514LF,144.0,778.0,18.50899742930591
107018,-1416.0,311.0,-455.3054662379421
107020,48.0,-178.0,-26.96629213483146
107024,48.0,334.0,14.37125748502994
107034,-272.0,1026.0,-26.510721247563353
110190LF,168.0,2844.0,5.9071729957805905
110192LF,-55326.0,-6090.0,908.472906403941
110193LF,-2496.0,-584.0,427.3972602739726
110194LF,-10.0,296.0,-3.3783783783783785
110195LF,-2312.0,-76.0,3042.105263157895
110196LF,-56.0,-5313.0,1.0540184453227932
110197LF,-360.0,396.0,-90.9090909090909
111034,-378.0,713.0,-53.015427769985976
111049,-66.0,196.0,-33.6734693877551
111061,130.0,1326.0,9.803921568627452
112098,-112.0,-2.0,5600.0
112100,11.0,-92.0,-11.956521739130435
113041,-816.0,552.0,-147.82608695652172
115104,-782.0,64.0,-1221.875
115111,-890.0,-284.0,313.38028169014086
115112,-351.0,-24.0,1462.5
115113,-26.0,58.0,-44.827586206896555
115114,-185.0,-66.0,280.3030303030303
