Quantity,Quantity,priority_cluster,top_priority_ratio
total_quantity,total_transactions,top_priority_transactions,
1234306,23345,2918,0.12499464553437567
790128,11363,1350,0.11880665317257766
550329,7493,705,0.09408781529427465
496376,4015,624,0.15541718555417186
273431,5482,736,0.1342575702298431
248400,4352,390,0.0896139705882353
221958,4493,566,0.12597373692410416
209078,3328,477,0.14332932692307693
155482,3613,454,0.12565734846388044
67586,225,41,0.18222222222222223
63037,694,53,0.07636887608069164
60412,1516,224,0.14775725593667546
50309,1234,174,0.14100486223662884
31549,713,147,0.2061711079943899
30596,600,130,0.21666666666666667
25882,762,77,0.1010498687664042
20898,279,12,0.043010752688172046
4460,86,0,0.0
2207,200,42,0.21
1469,137,30,0.21897810218978103
1444,23,0,0.0
1399,11,1,0.09090909090909091
1224,106,55,0.5188679245283019
1002,65,12,0.18461538461538463
200,24,0,0.0
112,30,0,0.0
6,1,1,1.0
