year_month,Quantity_received,Quantity_shipped
2021-01,19979,1642
2021-02,44765,12423
2021-03,45072,26679
2021-04,126748,41924
2021-05,148288,42554
2021-06,114014,159739
2021-07,78183,112567
2021-08,155610,176189
2021-09,195912,208366
2021-10,141929,126727
2021-11,169924,121011
2021-12,226183,92640
2022-01,141281,83403
2022-02,346582,98937
2022-03,224812,131221
2022-04,149821,62955
2022-05,100879,85136
2022-06,151594,103043
2022-07,145927,108661
2022-08,242351,111329
2022-09,136919,100218
2022-10,58308,110444
2022-11,121412,27894
2022-12,75287,135036
2023-01,112638,85469
2023-02,104886,121204
2023-03,144819,164423
2023-04,124814,169968
2023-05,355294,136496
2023-06,133119,123181
2023-07,88522,141588
2023-08,92614,88987
2023-09,25176,30863
