item_number,transaction_date_received,Quantity_received,period,transaction_date_shipped,Quantity_shipped,ship_receive_ratio,previous_ratio
08-104-599-504,2021-12-31 00:00:00,33.0,2021,2021-12-31 00:00:00,8.0,0.24242424242424243,
08-104-599-504,2023-12-31 00:00:00,5.0,2023,2023-12-31 00:00:00,5.0,1.0,0.24242424242424243
08-105-085-057,2021-12-31 00:00:00,7.0,2021,2021-12-31 00:00:00,12.0,1.7142857142857142,
08-105-085-057,2022-12-31 00:00:00,22.0,2022,2022-12-31 00:00:00,22.0,1.0,1.7142857142857142
08-105-173-065,2021-12-31 00:00:00,6.0,2021,2021-12-31 00:00:00,6.0,1.0,
08-105-173-065,2022-12-31 00:00:00,31.0,2022,2022-12-31 00:00:00,7.0,0.22580645161290322,1.0
08-105-173-065,2023-12-31 00:00:00,23.0,2023,2023-12-31 00:00:00,51.0,2.217391304347826,0.22580645161290322
08-105-687-059,2021-12-31 00:00:00,79.0,2021,2021-12-31 00:00:00,73.0,0.9240506329113924,
08-105-687-059,2022-12-31 00:00:00,25.0,2022,2022-12-31 00:00:00,90.0,3.6,0.9240506329113924
08-105-687-059,2023-12-31 00:00:00,8.0,2023,2023-12-31 00:00:00,8.0,1.0,3.6
08-111-626-501,2021-12-31 00:00:00,17.0,2021,2021-12-31 00:00:00,18.0,1.0588235294117647,
08-111-626-501,2022-12-31 00:00:00,8.0,2022,2022-12-31 00:00:00,4.0,0.5,1.0588235294117647
08-111-626-501,2023-12-31 00:00:00,2.0,2023,0,0.0,0.0,0.5
08-111-627-501,2021-12-31 00:00:00,1.0,2021,2021-12-31 00:00:00,4.0,4.0,
08-111-627-501,2022-12-31 00:00:00,5.0,2022,0,0.0,0.0,4.0
08-111-671-001,2021-12-31 00:00:00,16.0,2021,2021-12-31 00:00:00,4.0,0.25,
08-112-783-501,2021-12-31 00:00:00,4.0,2021,2021-12-31 00:00:00,11.0,2.75,
08-112-783-501,2023-12-31 00:00:00,2.0,2023,0,0.0,0.0,2.75
