year,item_number,received_qty,shipped_qty,turnover_rate
2021,08-104-599-504,33.0,8.0,0.24242424242424243
2021,08-105-085-057,7.0,12.0,1.7142857142857142
2021,08-105-173-065,6.0,6.0,1.0
2021,08-105-687-059,79.0,73.0,0.9240506329113924
2021,08-111-626-501,17.0,18.0,1.0588235294117647
2021,08-111-627-501,1.0,4.0,4.0
2021,08-111-671-001,16.0,4.0,0.25
2021,08-112-783-501,4.0,11.0,2.75
2021,103251,8064.0,288.0,0.03571428571428571
2021,103252LF,7439.0,3790.0,0.5094770802527221
2021,103255LF,1008.0,432.0,0.42857142857142855
2021,103257LF,1584.0,288.0,0.18181818181818182
2021,103258LF,1152.0,576.0,0.5
2021,103259LF,288.0,288.0,1.0
2021,103260LF,2304.0,1152.0,0.5
2021,103261LF,288.0,276.0,0.9583333333333334
2021,103267,330.0,618.0,1.8727272727272728
2021,103306LF,419.0,838.0,2.0
2021,103350,1440.0,0.0,0.0
2021,103351LF,576.0,576.0,1.0
2021,103400,7120.0,3620.0,0.5084269662921348
2021,103401LF,2400.0,200.0,0.08333333333333333
2021,103402,320.0,140.0,0.4375
2021,103404,320.0,320.0,1.0
2021,103405LF,300.0,120.0,0.4
2021,103417,8352.0,1296.0,0.15517241379310345
2021,103418LF,2704.0,1845.0,0.6823224852071006
2021,104300,246.0,344.0,1.3983739837398375
2021,104301,731.0,1042.0,1.4254445964432285
2021,104302,65.0,31.0,0.47692307692307695
2021,104303,206.0,167.0,0.8106796116504854
2021,104304,8.0,62.0,7.75
2021,104306,425.0,608.0,1.4305882352941177
2021,104308,331.0,601.0,1.8157099697885197
2021,104309,390.0,782.0,2.005128205128205
2021,104310,199.0,302.0,1.5175879396984924
2021,104312,139.0,257.0,1.8489208633093526
2021,104313,48.0,41.0,0.8541666666666666
2021,104315,232.0,327.0,1.4094827586206897
2021,104318,265.0,396.0,1.4943396226415093
2021,104321,172.0,257.0,1.494186046511628
2021,104323,49.0,70.0,1.4285714285714286
2021,104326,168.0,154.0,0.9166666666666666
2021,104328,132.0,170.0,1.2878787878787878
2021,104450LF,739.0,939.0,1.27063599458728
2021,104451LF,804.0,1051.0,1.3072139303482586
2021,104452LF,66.0,84.0,1.2727272727272727
2021,104453LF,65.0,95.0,1.4615384615384615
2021,104456LF,391.0,490.0,1.2531969309462916
2021,104458LF,5.0,3.0,0.6
2021,104459LF,128.0,216.0,1.6875
2021,104460LF,78.0,123.0,1.5769230769230769
2021,104462LF,14.0,33.0,2.357142857142857
2021,104463LF,11.0,17.0,1.5454545454545454
2021,104465LF,70.0,111.0,1.5857142857142856
2021,104468LF,9.0,23.0,2.5555555555555554
2021,104471LF,43.0,60.0,1.3953488372093024
2021,104476LF,45.0,55.0,1.2222222222222223
2021,104478LF,11.0,10.0,0.9090909090909091
2021,104501,136.0,126.0,0.9264705882352942
2021,104502,75.0,139.0,1.8533333333333333
2021,104600,12.0,6.0,0.5
2021,104602,5.0,6.0,1.2
2021,104603,20.0,25.0,1.25
2021,104606,4.0,12.0,3.0
2021,104608,4.0,13.0,3.25
2021,104609,19.0,26.0,1.368421052631579
2021,104612,16.0,3.0,0.1875
2021,104618,9.0,3.0,0.3333333333333333
2021,104621,4.0,4.0,1.0
2021,104626,4.0,6.0,1.5
2021,104645,4.0,0.0,0.0
2021,104675,6.0,4.0,0.6666666666666666
2021,104683,1.0,2.0,2.0
2021,104800,9.0,2.0,0.2222222222222222
2021,106507,1584.0,864.0,0.5454545454545454
2021,106514LF,2592.0,1814.0,0.6998456790123457
2021,107018,1320.0,2280.0,1.7272727272727273
2021,107019,1296.0,1644.0,1.2685185185185186
2021,107020,132.0,264.0,2.0
2021,107024,180.0,180.0,1.0
2021,107034,1536.0,1482.0,0.96484375
2021,110190LF,4680.0,3439.0,0.7348290598290599
2021,110191LF,54.0,144.0,2.6666666666666665
2021,110192LF,50076.0,53779.0,1.0739475996485341
2021,110193LF,6552.0,9259.0,1.4131562881562882
2021,110194LF,60.0,106.0,1.7666666666666666
2021,110195LF,1092.0,1092.0,1.0
2021,110196LF,12168.0,16169.0,1.3288132807363577
2021,110197LF,2160.0,2880.0,1.3333333333333333
2021,110198LF,1140.0,595.0,0.5219298245614035
2021,110199LF,1080.0,1800.0,1.6666666666666667
2021,111031,1080.0,620.0,0.5740740740740741
2021,111034,1620.0,1585.0,0.9783950617283951
2021,111040,891.0,288.0,0.32323232323232326
2021,111042,561.0,66.0,0.11764705882352941
2021,111044,429.0,115.0,0.2680652680652681
2021,111046,165.0,0.0,0.0
2021,111047,462.0,294.0,0.6363636363636364
2021,111049,165.0,132.0,0.8
2021,111061,1380.0,715.0,0.5181159420289855
2021,112097,134.0,16.0,0.11940298507462686
2021,112098,90.0,80.0,0.8888888888888888
2021,112099,123.0,5.0,0.04065040650406504
2021,112100,110.0,107.0,0.9727272727272728
2021,112118,267.0,39.0,0.14606741573033707
2021,115104,2128.0,2002.0,0.9407894736842105
2021,115111,1660.0,1444.0,0.8698795180722891
2021,115112,876.0,633.0,0.7226027397260274
2021,115113,360.0,425.0,1.1805555555555556
2021,115114,360.0,311.0,0.8638888888888889
2021,115115,288.0,180.0,0.625
2021,115116,792.0,756.0,0.9545454545454546
2021,115117,324.0,289.0,0.8919753086419753
2021,115118,938.0,1101.0,1.1737739872068231
2021,115119,958.0,1252.0,1.3068893528183716
2021,115120,972.0,857.0,0.8816872427983539
2021,115121,1406.0,1157.0,0.8229018492176386
2021,115122,460.0,562.0,1.2217391304347827
2021,115123,2128.0,2048.0,0.9624060150375939
2021,115124,250.0,350.0,1.4
2021,115125,602.0,615.0,1.021594684385382
2021,115126,600.0,886.0,1.4766666666666666
2021,115127,478.0,539.0,1.1276150627615062
2021,115128,354.0,280.0,0.7909604519774012
2021,115129,106.0,96.0,0.9056603773584906
2021,115170,112.0,97.0,0.8660714285714286
2021,115171,72.0,0.0,0.0
2021,115172,33.0,69.0,2.090909090909091
2021,115174,174.0,72.0,0.41379310344827586
2021,115175,36.0,22.0,0.6111111111111112
2021,115176,68.0,51.0,0.75
2021,115177,342.0,453.0,1.3245614035087718
2021,115178,108.0,99.0,0.9166666666666666
2021,115179,576.0,567.0,0.984375
2021,115180,192.0,148.0,0.7708333333333334
2021,115181,100.0,70.0,0.7
2021,115182,482.0,521.0,1.0809128630705394
2021,115183,30.0,62.0,2.066666666666667
2021,115184,420.0,467.0,1.111904761904762
2021,115185,128.0,135.0,1.0546875
2021,115186,256.0,226.0,0.8828125
2021,115187,180.0,194.0,1.0777777777777777
2021,115188,202.0,170.0,0.8415841584158416
2021,115189,104.0,96.0,0.9230769230769231
2021,169035,297.0,165.0,0.5555555555555556
2021,169038,132.0,33.0,0.25
2021,169043,33.0,0.0,0.0
2021,169053,33.0,0.0,0.0
2021,175001,29.0,36.0,1.2413793103448276
2021,175004,43.0,40.0,0.9302325581395349
2021,175006,66.0,89.0,1.3484848484848484
2021,175008,3.0,1.0,0.3333333333333333
2021,175011,54.0,40.0,0.7407407407407407
2021,175012,6.0,5.0,0.8333333333333334
2021,175014,86.0,117.0,1.3604651162790697
2021,175015,35.0,30.0,0.8571428571428571
2021,175017,50.0,10.0,0.2
2021,175019,41.0,2.0,0.04878048780487805
2021,175020,3.0,5.0,1.6666666666666667
2021,175022,27.0,25.0,0.9259259259259259
