year,item_number,Quantity_shipped,average_inventory,turnover_rate
2021,08-104-599-504,8.0,22.833333333333332,0.35036496350364965
2021,08-105-085-057,12.0,0.8333333333333334,14.399999999999999
2021,08-105-173-065,6.0,0.5,12.0
2021,08-105-687-059,73.0,23.8,3.0672268907563023
2021,08-107-796-060,0.0,1.0,0.0
2021,08-111-626-501,18.0,3.409090909090909,5.28
2021,08-111-627-501,4.0,-2.8333333333333335,-1.4117647058823528
2021,08-111-628-501,4.0,-2.0,-2.0
2021,08-111-671-001,4.0,11.0,0.36363636363636365
2021,08-112-783-501,11.0,-1.9166666666666667,-5.739130434782608
2021,103251,288.0,5126.4,0.05617977528089888
2021,103252LF,3790.0,3084.125,1.2288736675718397
2021,103255LF,432.0,403.2,1.0714285714285714
2021,103257LF,288.0,820.8,0.3508771929824562
2021,103258LF,576.0,504.0,1.1428571428571428
2021,103259LF,288.0,72.0,4.0
2021,103260LF,1152.0,921.6,1.25
2021,103261LF,276.0,-17.333333333333332,-15.923076923076923
2021,103267,618.0,-72.0,-8.583333333333334
2021,103306LF,838.0,104.75,8.0
2021,103316LF,0.0,144.0,0.0
2021,103350,0.0,720.0,0.0
2021,103351LF,576.0,144.0,4.0
2021,103357LF,0.0,480.0,0.0
2021,103400,3620.0,2350.0,1.5404255319148936
2021,103401LF,200.0,1175.0,0.1702127659574468
2021,103402,140.0,187.5,0.7466666666666667
2021,103404,320.0,105.0,3.0476190476190474
2021,103405LF,120.0,165.0,0.7272727272727273
2021,103417,1296.0,3834.0,0.3380281690140845
2021,103418LF,1845.0,1208.3,1.526938674170322
2021,104300,344.0,-43.72727272727273,-7.866943866943867
2021,104301,1042.0,-157.0625,-6.6343016315161165
2021,104302,31.0,25.5,1.2156862745098038
2021,104303,167.0,26.1875,6.37708830548926
2021,104304,62.0,-19.571428571428573,-3.167883211678832
2021,104306,608.0,-104.25,-5.832134292565947
2021,104308,601.0,-129.54545454545453,-4.639298245614036
2021,104309,782.0,-243.72727272727272,-3.2085042894442375
2021,104310,302.0,-34.4375,-8.76950998185118
2021,104312,257.0,-46.45454545454545,-5.532289628180039
2021,104313,41.0,11.928571428571429,3.437125748502994
2021,104315,327.0,-59.1875,-5.524815205913411
2021,104318,396.0,-65.35714285714286,-6.059016393442622
2021,104321,257.0,-26.35,-9.753320683111953
2021,104323,70.0,-1.5,-46.666666666666664
2021,104326,154.0,-3.7142857142857144,-41.46153846153846
2021,104328,170.0,-27.0,-6.296296296296297
2021,104450LF,939.0,-104.4,-8.994252873563218
2021,104451LF,1051.0,-59.05555555555556,-17.796801505174034
2021,104452LF,84.0,9.0,9.333333333333334
2021,104453LF,95.0,-9.1,-10.43956043956044
2021,104456LF,490.0,-60.166666666666664,-8.14404432132964
2021,104458LF,3.0,3.3333333333333335,0.8999999999999999
2021,104459LF,216.0,-46.5,-4.645161290322581
2021,104460LF,123.0,-15.35,-8.013029315960912
2021,104462LF,33.0,-13.214285714285714,-2.4972972972972975
2021,104463LF,17.0,-3.0,-5.666666666666667
2021,104465LF,111.0,-13.8125,-8.036199095022624
2021,104468LF,23.0,-8.25,-2.787878787878788
2021,104471LF,60.0,-3.642857142857143,-16.47058823529412
2021,104476LF,55.0,0.14285714285714285,385.0
2021,104478LF,10.0,2.1,4.761904761904762
2021,104500,3083.0,-2646.375,-1.1649898445987437
2021,104501,126.0,-12.0,-10.5
2021,104502,139.0,-48.666666666666664,-2.856164383561644
2021,104600,6.0,8.25,0.7272727272727273
2021,104602,6.0,1.25,4.8
2021,104603,25.0,-6.416666666666667,-3.896103896103896
2021,104604,0.0,1.0,0.0
2021,104606,12.0,-8.0,-1.5
2021,104608,13.0,-9.166666666666666,-1.4181818181818182
2021,104609,26.0,-0.875,-29.714285714285715
2021,104612,3.0,1.75,1.7142857142857142
2021,104618,3.0,1.4,2.142857142857143
2021,104621,4.0,2.0,2.0
2021,104626,6.0,-1.0,-6.0
2021,104645,0.0,2.0,0.0
2021,104675,4.0,0.5,8.0
2021,104683,2.0,-0.5,-4.0
2021,104700,0.0,5.75,0.0
2021,104703,0.0,2.0,0.0
2021,104800,2.0,0.75,2.6666666666666665
2021,106507,864.0,550.4,1.5697674418604652
2021,106514LF,1814.0,961.0,1.8876170655567117
2021,107018,2280.0,-416.0,-5.480769230769231
2021,107019,1644.0,-438.0,-3.7534246575342465
2021,107020,264.0,-9.0,-29.333333333333332
2021,107024,180.0,60.0,3.0
2021,107034,1482.0,238.2,6.221662468513855
2021,110190LF,3439.0,113.1,30.406719717064547
2021,110191LF,144.0,-66.75,-2.157303370786517
2021,110192,0.0,1170.0,0.0
2021,110192LF,53779.0,-5166.416666666667,-10.40934238753488
2021,110193LF,9259.0,-911.5833333333334,-10.157052747051832
2021,110194LF,106.0,-3.0,-35.333333333333336
2021,110195LF,1092.0,39.0,28.0
2021,110196LF,16169.0,-2528.6428571428573,-6.394339142962063
2021,110197LF,2880.0,-390.0,-7.384615384615385
2021,110198LF,595.0,572.5,1.039301310043668
2021,110199LF,1800.0,-495.0,-3.6363636363636362
2021,111031,620.0,530.0,1.169811320754717
2021,111034,1585.0,199.5,7.9448621553884715
2021,111040,288.0,439.375,0.6554765291607397
2021,111042,66.0,269.5,0.24489795918367346
2021,111044,115.0,222.33333333333334,0.5172413793103448
2021,111046,0.0,74.25,0.0
2021,111047,294.0,82.5,3.5636363636363635
2021,111049,132.0,60.5,2.1818181818181817
2021,111061,715.0,480.625,1.4876462938881665
2021,112097,16.0,53.333333333333336,0.3
2021,112098,80.0,1.4,57.142857142857146
2021,112099,5.0,66.0,0.07575757575757576
2021,112100,107.0,-50.13636363636363,-2.1341795104261108
2021,112118,39.0,54.666666666666664,0.7134146341463415
2021,112119,86.0,-43.0,-2.0
2021,115072,4.0,-2.0,-2.0
2021,115074,14.0,-7.0,-2.0
2021,115104,2002.0,12.916666666666666,154.99354838709678
2021,115111,1444.0,-49.666666666666664,-29.073825503355707
2021,115112,633.0,50.791666666666664,12.46267432321575
2021,115113,425.0,-18.5625,-22.895622895622896
2021,115114,311.0,-9.277777777777779,-33.52095808383233
2021,115115,180.0,3.0,60.0
2021,115116,756.0,-57.27272727272727,-13.2
2021,115117,289.0,-31.35,-9.218500797448165
2021,115118,1101.0,22.65,48.60927152317881
2021,115119,1252.0,-116.5,-10.746781115879829
2021,115120,857.0,-32.708333333333336,-26.201273885350318
2021,115121,1157.0,106.375,10.876615746180963
2021,115122,562.0,-64.25,-8.747081712062256
2021,115123,2048.0,-236.5,-8.659619450317125
2021,115124,350.0,-26.666666666666668,-13.125
2021,115125,615.0,-3.6818181818181817,-167.03703703703704
2021,115126,886.0,-114.81818181818181,-7.716547901821062
2021,115127,539.0,-23.681818181818183,-22.76007677543186
2021,115128,280.0,33.583333333333336,8.337468982630272
2021,115129,96.0,14.083333333333334,6.816568047337277
2021,115170,97.0,-14.5,-6.689655172413793
2021,115171,0.0,36.0,0.0
2021,115172,69.0,7.5,9.2
2021,115174,72.0,29.0,2.4827586206896552
2021,115175,22.0,15.2,1.4473684210526316
2021,115176,51.0,-6.3125,-8.07920792079208
2021,115177,453.0,-19.041666666666668,-23.789934354485776
2021,115178,99.0,-7.071428571428571,-14.0
2021,115179,567.0,-2.15,-263.72093023255815
2021,115180,148.0,16.6,8.915662650602409
